target_contrast_gene_name,naive_suppression,tolerance_suppression,stim_de_genes,stim_downstream,n_cells_target,rest_de_genes,rest_downstream,is_core_essential,is_iei,z_l2,rank
CAMSAP1,1.3055677851644736,-0.2874325990892255,518,517,145.0,125.0,124.0,False,False,137.96637154746904,58
PGAM1,1.3010466751823078,0.1086099187913644,60,59,126.0,17.0,16.0,False,False,117.46621914457448,59
PLCG1,1.2858882914707368,2.5468246730462765,2218,2217,267.0,3.0,2.0,False,False,216.04992210919627,60
PFDN4,1.2815493326425258,1.9017203483507013,75,74,160.0,12.0,12.0,False,False,123.29827320994478,61
SETD1B,1.2707166960141365,1.535015274902544,85,84,182.0,109.0,108.0,False,False,115.58905337843474,62
BRPF1,1.2671619594912116,0.5068146987850302,802,801,664.0,1005.0,1004.0,False,False,150.04813011657274,63
CD28,1.2647382355677592,0.7255215378576593,1798,1797,514.0,5.0,4.0,False,True,177.11714119180328,64
EHMT2,1.2618294261029426,-0.2584750431720415,1007,1006,629.0,1429.0,1428.0,False,False,164.8283975278231,65
NDFIP2,1.2606633673122574,1.0304679410189366,128,127,442.0,2.0,1.0,False,False,123.03320450452922,66
DPY19L3,1.260249133464594,1.4375165742015923,74,73,84.0,14.0,13.0,False,False,114.28077748752476,67
UPF3A,1.2593838022556625,0.0663618257689063,12,11,338.0,1.0,0.0,False,False,107.23025277753077,68
UFM1,1.2535856361990054,0.3661722542052552,1385,1384,584.0,1670.0,1669.0,False,False,185.6435159962788,69
PEPD,1.249303294515527,0.4985334305327434,7,6,542.0,1.0,0.0,False,True,106.78354521765236,70
MIA2,1.2474053793604547,0.9431270119241976,1566,1565,567.0,53.0,52.0,False,False,201.17572409041537,71
RC3H1,1.2443429639070858,0.5076131920325357,341,340,757.0,114.0,113.0,False,False,138.04369956030007,72
DIS3L,1.2389200871042314,0.6582626398291809,27,26,226.0,20.0,19.0,False,False,112.35118816304812,73
ZNF649,1.2365517588865755,0.2933623718685869,1174,1173,798.0,105.0,104.0,False,False,160.7064689401251,74
NFRKB,1.234477019841193,1.6149956596129975,2520,2519,1321.0,3020.0,3019.0,False,False,215.1617089769754,75
ICAM2,1.228751375902045,0.0355961275979764,27,26,110.0,3.0,2.0,False,False,109.54067998720411,76
PPP2R2A,1.2174304022177629,0.9954469168909152,41,40,316.0,1.0,0.0,False,False,114.33760401337452,77
RAB21,1.2170887911564092,-0.0266102448407407,128,127,1059.0,13.0,12.0,False,False,129.16232899544516,78
TIMM9,1.2114988974745435,0.5650016951097672,11,10,78.0,79.0,79.0,False,False,110.90379564424056,79
ICMT,1.2109175957570053,1.196975944015996,64,63,490.0,,,False,False,109.9151513910182,80
HMGXB3,1.2107307133885763,1.1347499790980982,83,82,106.0,9.0,9.0,False,False,116.02797696691918,81
BTAF1,1.2098117076460158,0.8494111568574516,1296,1295,541.0,1053.0,1052.0,False,False,169.48355982831637,82
ATXN7L3,1.208684751139831,0.199153736885157,503,502,918.0,545.0,544.0,False,False,142.67693532741828,83
ENO1,1.2048722997043788,-0.0343619666981839,359,358,70.0,7.0,6.0,False,False,131.52976584694412,84
ITK,1.2048531440322183,1.0554898776198849,2566,2565,361.0,2.0,1.0,False,True,204.6324442915988,85
TOB1,1.2029459436823018,1.204649168070695,4,3,262.0,1.0,0.0,False,False,102.50827651396231,86
EXOC1,1.1931343756558723,1.5727134601789396,76,75,98.0,118.0,117.0,False,False,117.56449712963544,87
ZNF100,1.19302692715017,0.5254109347497611,13,12,1140.0,19.0,18.0,False,False,110.00676513232136,88
BCL7C,1.1885476541338675,1.1366250637050317,1,0,347.0,2.0,1.0,False,False,113.058927541325,89
GSTP1,1.1874364500439336,0.572757439179919,20,19,84.0,29.0,28.0,False,False,111.03387976540942,90
CAST,1.1853043583545628,0.2752290169881111,2,1,319.0,0.0,0.0,False,False,100.86330945196744,91
GEMIN7,1.1840736136732222,0.8904115800009637,7,6,62.0,,,False,False,105.00462982251986,92
TIAL1,1.1840670883297275,0.0422041503052945,238,237,645.0,54.0,53.0,False,False,131.72440654351095,93
ADPRS,1.182227442414061,0.6579030608541269,4,3,297.0,14.0,13.0,False,False,110.71061460320033,94
RIOK3,1.1767521666742822,0.3900752186156454,6,5,783.0,9.0,8.0,False,False,111.8030453852312,95
CXorf38,1.1694566474008452,0.4523054012756247,9,8,907.0,1.0,0.0,False,False,107.16574754566358,96
MAN1A1,1.1688083839829435,0.6203784465925147,2,1,288.0,11.0,10.0,False,False,108.77495079713457,97
MED12,1.1685014438449075,1.272377648369891,2046,2045,191.0,2843.0,2842.0,False,False,205.68928290820097,98
FRA10AC1,1.1661512114488373,1.2417351456242074,38,37,237.0,33.0,32.0,False,False,114.03642677737405,99
RHOF,1.1628496834846132,0.0740619078010019,290,289,401.0,476.0,475.0,False,False,134.71619444214696,100
CD3E,1.162031870360684,0.9240900073550976,1586,1585,91.0,4.0,3.0,False,True,198.4207859590532,101
PIP5K1A,1.1554632217605916,-0.1514323610045732,7,6,1564.0,6.0,5.0,False,False,112.01205815871111,102
FANCM,1.153136808284248,0.218314721425724,12,11,397.0,76.0,76.0,False,True,112.02431588002013,103
PLA2G6,1.1510729655417884,1.4310427402047936,7,6,575.0,3.0,2.0,False,False,107.21524564684758,104
RBM33,1.1487031694670249,1.006399002371504,242,241,195.0,165.0,164.0,False,False,127.45503035053568,105
KRR1,1.1480117342445617,-0.1816012784544262,42,41,48.0,37.0,36.0,False,False,112.08157725864598,106
MBD2,1.1477559642198143,0.5757599027640077,187,186,51.0,573.0,572.0,False,False,125.78547084363682,107
PLPP5,1.1474595866503414,0.8861313065842014,1,0,536.0,1.0,0.0,False,False,97.41552035051689,108
ARPC5L,1.1446514477064238,0.4168063281574633,4,3,581.0,7.0,6.0,False,False,106.64660573951464,109
CRK,1.1392150459376318,0.9092980137265928,1,0,124.0,1.0,0.0,False,False,102.92538612058893,110
CLASRP,1.135862939460625,1.4295832981476542,362,361,137.0,157.0,156.0,False,False,136.2242845046493,111
SLC35B1,1.1322329791929917,1.5155523388691274,108,107,104.0,628.0,627.0,False,False,116.6402767074976,112
BCL3,1.1281034093534477,0.3073371229457221,63,62,143.0,231.0,230.0,False,False,117.97761809873742,113
WBP4,1.1274543025399375,0.5802512538886552,41,40,199.0,142.0,141.0,False,False,118.64202852389242,114
SRR,1.124881382597034,0.328720487456027,278,277,273.0,466.0,465.0,False,False,133.72734083272132,115
MMAB,1.124539986681729,0.450673527778928,744,743,401.0,837.0,836.0,False,False,153.437412732576,116
PAQR8,1.123459207117343,1.344635389398208,110,109,30.0,,,False,False,115.49021474791404,117
PGAP2,1.1227702494472038,0.6371475417013471,230,229,103.0,4.0,4.0,False,False,128.2898370974839,118
SMAD4,1.121447797450117,0.4623354180104296,74,73,540.0,114.0,113.0,False,False,113.40153157663288,119
SLC16A1,1.1196824394171463,1.2323830960725726,387,386,314.0,5.0,4.0,False,False,135.24834783919627,120
ADGRG5,1.1169580596583353,0.6459523799262711,36,35,440.0,18.0,17.0,False,False,118.4970207705996,121
GCN1,1.1156529761075036,1.5823233372263066,278,277,344.0,58.0,57.0,False,False,132.06689991946703,122
SEPSECS,1.1131847038447025,1.2658927651329277,36,35,52.0,3.0,3.0,False,False,109.43461760423946,123
TIPARP,1.1129613017768845,0.4728025569355105,89,88,219.0,364.0,363.0,False,False,120.29820819745756,124
PGK1,1.1122947991259664,0.7025451498816273,250,249,57.0,268.0,267.0,False,False,129.88635067339106,125
MSH2,1.1105630748171753,1.338230649933296,3,2,783.0,3.0,2.0,False,False,102.22251910304736,126
CD79B,1.1104341528715944,0.9245850319520716,6,5,890.0,2.0,1.0,False,True,106.39581698847262,127
PURA,1.1089337702051898,1.279861252049346,2,1,321.0,5.0,4.0,False,False,103.2615427123423,128
PRKX,1.1067983109572372,0.4061955092371313,2,1,167.0,3.0,3.0,False,False,110.66006010503968,129
PTBP1,1.1054454955662114,0.6231731449625866,119,118,106.0,89.0,88.0,False,False,124.25741491149104,130
LMLN,1.1053102779541248,-0.2825148952861771,34,33,269.0,0.0,0.0,False,False,109.56848941700224,131
MED10,1.1047313201860176,0.4903664481501757,7,6,32.0,,,False,False,104.60959461197317,132
PRKCSH,1.104289722785823,0.1104520622531696,2,1,356.0,14.0,13.0,False,False,101.96210165832164,133
CHRAC1,1.103874214626667,0.7891276925669509,14,13,711.0,28.0,27.0,False,False,112.48739978220355,134
APOBEC3G,1.1029291736431788,0.6911268174196403,2,1,406.0,104.0,103.0,False,False,97.1238039137172,135
WAPL,1.1014463199883444,0.7416220714188604,106,105,79.0,487.0,486.0,False,False,120.9885944878766,136
QRSL1,1.092656803474663,0.9861641811064028,269,268,439.0,18.0,17.0,False,False,133.76315681357636,137
KMT5B,1.089739299382242,0.6214562927180819,940,939,711.0,614.0,613.0,False,False,158.33635887243074,138
CARD6,1.086213224354311,0.2067876657408512,78,77,568.0,55.0,54.0,False,False,118.41783693509328,139
PGS1,1.0854758860762947,-0.1851448116452746,121,120,118.0,714.0,713.0,False,False,121.03875171538633,140
ZC3H10,1.0849398670373642,0.0845796137739303,360,359,892.0,381.0,380.0,False,False,137.95135594183185,141
APOL3,1.0843407376742864,0.8734753796160751,1,0,758.0,1.0,0.0,False,False,99.8726491203598,142
ZNF23,1.0780426682351296,1.1072461937088514,1,0,243.0,0.0,0.0,False,False,105.20700302093472,143
STAU1,1.0766728176524236,0.8285633855518548,3,2,524.0,4.0,3.0,False,False,113.16747800061586,144
ZDBF2,1.073484028117516,0.5567871096084166,2,1,570.0,1.0,0.0,False,False,103.12940486916094,145
RASA3,1.0637747651233158,0.5392308002801254,31,30,849.0,10.0,9.0,False,False,124.34273067026638,146
GSS,1.0596634091877843,0.1234098940828418,424,423,104.0,259.0,258.0,False,False,133.51995466622398,147
ZNF821,1.0586094327286817,0.7792317664431404,4,3,304.0,0.0,0.0,False,False,103.77674094694224,148
CHAMP1,1.057766495223027,0.8553720247560088,7,6,1099.0,4.0,3.0,False,False,105.91725792514718,149
APBB1IP,1.054198342438378,-0.2699233003357913,27,26,583.0,31.0,30.0,False,False,117.61662827933276,150
MPG,1.0532923007199009,0.6727923316178444,166,165,193.0,,,False,False,124.63359237530577,151
FLII,1.052977154155751,1.214154896013317,1,0,385.0,2.0,1.0,False,False,111.3699516610957,152
GSK3A,1.0516763567160674,1.5233490910547487,3,2,1101.0,5.0,4.0,False,False,103.10720361323608,153
SLC25A15,1.0491784732937397,1.3224925502086282,2,1,370.0,2.0,1.0,False,False,99.87484186976128,154
TSPAN31,1.0482629255864702,1.0086537492175995,2,1,355.0,1.0,0.0,False,False,101.28015471971771,155
TBRG4,1.045190661896566,0.0412057805411277,2,1,154.0,0.0,0.0,False,False,102.54936187649288,156
EXD3,1.0443223531309682,0.5885524850908,1,0,443.0,0.0,0.0,False,False,110.95798413240088,157
EIF4G2,1.0437564398879926,1.278200359106733,1830,1829,222.0,2014.0,2013.0,False,False,186.33111002412187,158
XBP1,1.0422463262014026,0.7274641138488436,492,491,1048.0,180.0,179.0,False,False,153.95479279674777,159
METTL15,1.03953430703246,0.488369065269143,4,3,737.0,1.0,0.0,False,False,108.03389547351868,160
FDFT1,1.0347613647903775,1.4521091255220848,29,28,347.0,7.0,6.0,False,False,120.0343023866467,161
FAM89B,1.032225190915672,0.9448505225915188,9,8,350.0,1642.0,1641.0,False,False,114.18503718294733,162
PHC1,1.0309331775777186,0.8270801863814482,2,1,458.0,1.0,0.0,False,False,97.08682839437118,163
PPP1R15B,1.0305722022634032,0.7389316103986939,179,178,188.0,199.0,198.0,False,False,123.74389500477916,164
NT5C3B,1.0296127516443807,1.106080191016802,1,0,436.0,1.0,0.0,False,False,91.94640713686138,165
TMEM79,1.028489020105212,0.7865097087064994,58,57,319.0,251.0,250.0,False,False,117.1234224694924,166
ATF2,1.0282950750680313,1.41176774246758,1,0,1101.0,4.0,3.0,False,False,99.47417721894544,167
REL,1.02719764338695,1.003896866525866,2,1,361.0,3.0,2.0,False,True,107.12770094366392,168
ZAP70,1.0261348158531525,0.8903964198017247,2486,2485,52.0,83.0,82.0,False,True,238.61321521076127,169
SLC44A2,1.0240993566988703,0.5702853391501033,21,20,609.0,17.0,16.0,False,False,113.2479725090625,170
CLIP2,1.0238113896776626,0.5145015180695065,20,19,298.0,29.0,28.0,False,False,113.97301301290076,171
CBFA2T2,1.0237669456433611,0.7623908188795053,2,1,338.0,300.0,299.0,False,False,98.81571400254856,172
GMEB1,1.0237176640697427,0.5311620965117874,559,558,1642.0,244.0,243.0,False,False,150.81874576340138,173
TMEM126B,1.0219412392250722,0.1282982078646597,441,440,532.0,28.0,27.0,False,False,140.0877400158379,174
OAS2,1.0211179505386985,0.7338396788914961,2,1,850.0,2.0,1.0,False,True,104.77483472633972,175
TBC1D10B,1.0195129390054594,1.3712514957616857,4,3,210.0,4.0,3.0,False,False,105.4287609665774,176
NCAPH2,1.0192956303224343,1.0819462311294712,26,25,167.0,6.0,6.0,False,False,112.98351068888712,177
MTOR,1.0161485290542835,1.034598962405754,33,32,47.0,,,False,False,113.5443425400816,178
CHORDC1,1.015715918145974,1.0655538393990678,69,68,46.0,159.0,158.0,False,False,114.77961382244392,179
NCK1,1.0151160798464147,1.9990370004845064,5,4,892.0,5.0,4.0,False,False,105.02670385450824,180
USP19,1.015002165712198,0.8083821154297487,2,1,787.0,2.0,1.0,False,False,99.10685126247373,181
ARL1,1.012787337147771,0.801759129909424,137,136,375.0,1.0,0.0,False,False,125.2276404315173,182
NUDT8,1.0126383502483765,0.9828804973187368,1,0,563.0,1.0,1.0,False,False,101.19640616285656,183
ECSIT,1.010899134000819,0.8938049492366597,694,693,436.0,11.0,10.0,False,False,146.6413140273984,184
UVSSA,1.0105467471082334,1.0835129862443194,51,50,42.0,56.0,56.0,False,False,111.52925513991566,185
SEC23A,1.0074809150709152,1.376296584447615,11,10,598.0,14.0,13.0,False,False,113.2852067038951,186
WDR44,1.0066128638163254,-0.0907638726148821,26,25,155.0,272.0,271.0,False,False,109.66164396290247,187
CHUK,1.0057219283926453,-0.837201360283544,17,16,155.0,25.0,24.0,False,True,110.2685411362498,188
TBL1XR1,1.0034533899665266,0.5185660258654226,427,426,712.0,135.0,134.0,False,False,139.82290052469253,189
SNX19,1.003329575230684,0.1176374465209389,2,1,725.0,1.0,0.0,False,False,95.22429403321824,190
FASTKD2,1.001257309008362,0.4910338496012118,1,0,672.0,1.0,0.0,False,False,99.82588949851504,191
PPP4R2,1.001256140341472,-0.0235030953116852,3,2,312.0,1.0,0.0,False,False,101.43810097091436,192
BZW2,1.0010058622489917,0.9620442638717734,88,87,605.0,4.0,3.0,False,False,125.22216653974948,193
ZMYM6,0.9999708749307544,1.1620417091447652,2,1,505.0,1.0,0.0,False,False,92.6167362565716,194
ARHGEF6,0.9998012564279348,0.8252689478578825,3,2,1276.0,2.0,1.0,False,False,104.67743026607214,195
ACLY,0.997354499563506,1.3635009261605735,2432,2431,282.0,13.0,12.0,False,False,211.0710470018178,196
SMG7,0.9959516610860148,0.4763316326883151,905,904,176.0,1668.0,1667.0,False,False,164.42355898057326,197
CCNQ,0.9931043369741326,1.1756593838544322,412,411,213.0,466.0,465.0,False,False,137.03443721743812,198
COA1,0.9892271182545128,0.0331939673800599,2,1,271.0,0.0,0.0,False,False,108.6935525148384,199
AMBRA1,0.9882273345527204,1.2027591461739462,608,607,619.0,6.0,5.0,False,False,144.68029736455574,200
KIAA0753,0.987296901232754,0.2587618751035408,8,7,594.0,5.0,4.0,False,False,104.84084558662045,201
AGMAT,0.9869475078503356,0.3352667141208629,2,1,373.0,1.0,0.0,False,False,103.90254031316658,202
CDK2,0.9869414980425126,-0.2868458577932519,347,346,598.0,1.0,0.0,False,False,135.91277569834088,203
BOD1,0.9868063365693496,-0.0210810837418254,3,2,669.0,7.0,6.0,False,False,103.62145057478394,204
GIMAP4,0.9860312726918288,0.3876750802363342,3,2,1001.0,2.0,1.0,False,False,109.22530230320602,205
PDE6D,0.9858240456391044,0.6388324084339843,31,30,219.0,2.0,2.0,False,False,112.05535145294344,206
PDHA1,0.9840651618292896,1.5434450058420062,939,938,192.0,17.0,16.0,False,False,154.83446453195248,207
TMED10,0.983847765186043,0.6801233684678257,287,286,377.0,534.0,533.0,False,False,130.22968055855543,208
PMVK,0.9828701888169196,2.0980483720435763,3528,3527,212.0,210.0,209.0,False,True,260.57308818669094,209
LYAR,0.981146169499682,-0.0137363248578174,4,3,224.0,3.0,2.0,False,False,105.58550976840148,210
PIM3,0.9784350325475426,0.9254467280861216,8,7,149.0,3.0,3.0,False,False,109.48494776819844,211
FHOD1,0.9759025438736022,0.2148977127170062,4,3,574.0,1.0,0.0,False,False,104.25783976256754,212
ENDOD1,0.9741014414240456,1.1409829460724366,2,1,850.0,1.0,0.0,False,False,106.08987504336284,213
ACTG1,0.9737863521493068,0.2411895547171211,3,2,153.0,1.0,0.0,False,False,99.6573219208386,214
LPIN1,0.9736305347459918,1.0390037696013603,3,2,347.0,1.0,0.0,False,False,101.21964436542702,215
PANK4,0.9732064262255378,0.0122060670782765,43,42,73.0,5.0,5.0,False,False,113.39122239593723,216
CCL4,0.971549247306465,0.6159491209845825,1,0,803.0,0.0,0.0,False,False,100.5102622226645,217
GPATCH4,0.9712332311905092,0.6512291485956363,5,4,651.0,2.0,1.0,False,False,114.67654288691202,218
DCK,0.9679212683077912,1.6315162767288116,500,499,99.0,,,False,False,136.08637561770703,219
PIP4K2B,0.964572970361388,0.9883875618721488,12,11,169.0,20.0,19.0,False,False,112.53523633041932,220
SRP54,0.9644161719353328,0.566450858664048,1,0,624.0,1.0,0.0,False,True,101.63083026994644,221
SFXN3,0.9639973908148212,0.6698080903183423,1,0,787.0,2.0,1.0,False,False,96.65973611922026,222
GRK2,0.9618720674748212,0.0589017167080345,3,2,338.0,8.0,7.0,False,False,103.2468302036711,223
BAP1,0.960429895683638,1.443803166083396,258,257,65.0,60.0,60.0,False,False,124.8839869041664,224
DLAT,0.9593353746131889,1.6863158124206314,1116,1115,372.0,3.0,2.0,False,False,159.33717950430014,225
PFDN5,0.9591626746693088,0.0897383392014928,7,6,381.0,218.0,217.0,False,False,111.69856611301712,226
SPCS2,0.958303378448141,0.1055829630496145,2,1,145.0,4.0,3.0,False,False,105.90205974084142,227
IST1,0.957779895583862,2.0375110892037105,177,176,366.0,554.0,553.0,False,False,126.4325805370025,228
C18orf21,0.9550846005038922,0.5155543798536437,1,0,217.0,4.0,3.0,False,False,105.9579560814409,229
NDUFB4,0.9535458322324468,-0.0069443835346437,229,228,379.0,24.0,23.0,False,False,129.19035786929498,230
SDCBP,0.9529814182533832,0.909374626797296,2,1,710.0,15.0,14.0,False,False,96.9846547013576,231
METTL22,0.9527377040923783,0.7601314902737106,2,1,588.0,1.0,0.0,False,False,100.7895155270416,232
VOPP1,0.952186535290428,0.816516274152737,1,0,323.0,1.0,0.0,False,False,100.10520733815822,233
EIF3H,0.952126185127139,1.006345540377742,187,186,172.0,878.0,877.0,False,False,123.31686035469426,234
AKR1B1,0.9512399022392432,1.09375016426077,4,3,328.0,6.0,5.0,False,False,101.25044506022331,235
