target_contrast_gene_name,naive_suppression,tolerance_suppression,stim_de_genes,stim_downstream,n_cells_target,rest_de_genes,rest_downstream,is_core_essential,is_iei,z_l2,rank
ZDHHC8,0.5327691054333449,1.0774388456691888,1,0,427.0,1.0,0.0,False,False,98.87980459028904,1265
CBR1,0.532476579425079,0.8529689735560049,1,0,814.0,2.0,1.0,False,False,91.51315191216555,1266
CCNF,0.5322936170141513,0.4310624504575067,197,196,505.0,615.0,614.0,False,False,128.75387052215845,1267
SNX30,0.5318871974017902,-0.0157385768337673,2,1,1005.0,2.0,1.0,False,False,101.23565140912602,1268
TLE5,0.5314880923439411,-0.4710503047163976,1,0,584.0,3.0,2.0,False,False,94.82722233852432,1269
TRABD2A,0.5305545880236524,0.7204862758587056,1,0,527.0,2.0,1.0,False,False,95.91621479166749,1270
DNAAF5,0.5304542909081726,0.7211993873178381,145,144,374.0,2.0,1.0,False,False,126.57766301146177,1271
CD58,0.530291589079595,0.5615276522925314,1,0,886.0,1.0,0.0,False,False,96.35248022293528,1272
USF2,0.5302403570910537,-0.0786238295069118,25,24,1365.0,44.0,43.0,False,False,108.98894901250353,1273
PGAM5,0.5301891041569091,-0.4300157227706109,3,2,504.0,2.0,1.0,False,False,90.236227336586,1274
DOHH,0.5299720601291633,0.7820644599999075,1052,1051,255.0,339.0,338.0,False,False,160.4756095291925,1275
CNEP1R1,0.5299473226309727,0.7787223239703878,1,0,441.0,4.0,3.0,False,False,113.23533786164622,1276
BAZ1A,0.5294813343909536,0.5160009215861852,16,15,393.0,89.0,88.0,False,False,109.5664077840968,1277
NR2C1,0.5293106099020571,0.3970583357566046,5,4,282.0,7.0,6.0,False,False,106.0469674444016,1278
ZNF235,0.5292998224749736,0.4221859070333147,1,0,929.0,1.0,0.0,False,False,99.4685625917882,1279
SMURF2,0.5291808297011765,-0.555884479098816,2,1,490.0,2.0,1.0,False,False,103.0851934983278,1280
TMED1,0.5290723093714342,0.3321731283217523,2,1,583.0,6.0,5.0,False,False,109.37017018756066,1281
ZNF445,0.5287861637099166,0.5125138539400965,1,0,749.0,2.0,1.0,False,False,97.23743052981295,1282
VDR,0.5286228693316557,0.6056581070530215,2,1,599.0,1.0,0.0,False,False,94.57662899728764,1283
FHL3,0.5284804774427724,0.4978643137144106,7,6,665.0,6.0,5.0,False,False,113.70258287665398,1284
MYH10,0.5284681780483622,0.3505193592819707,1,0,845.0,1.0,0.0,False,False,92.8732454022864,1285
NF1,0.5283708575555915,-0.1380801206612228,4,3,410.0,12.0,11.0,False,False,100.51859348325924,1286
DCTD,0.5281699795254695,0.2991739071022208,1,0,547.0,4.0,3.0,False,False,103.62134597904576,1287
CTNNB1,0.5280057800857153,0.7608364286176262,60,59,208.0,7.0,6.0,False,False,115.4868263466668,1288
NIBAN2,0.5276422525582787,0.6617038291363496,1,0,431.0,1.0,0.0,False,False,94.03038051682988,1289
HDAC4,0.5271469905910441,0.4167715997834528,1,0,802.0,1.0,0.0,False,False,95.8157601572903,1290
ZNF544,0.5271456716738779,0.107980957242577,2,1,1195.0,1.0,0.0,False,False,96.56412669896967,1291
ZNF22,0.5268126043266368,0.6171069087573409,1,0,612.0,3.0,2.0,False,False,90.9955044494332,1292
FOXK1,0.5267916301701598,0.6614876025044565,140,139,340.0,157.0,156.0,False,False,127.81928437524223,1293
ERGIC1,0.5265397723590607,1.1052906801622888,6,5,371.0,11.0,10.0,False,False,106.46813626249556,1294
ITPR1,0.5262260529811271,0.8055994529293412,392,391,279.0,1.0,0.0,False,False,132.4378779208043,1295
NUDT3,0.5258797227012783,0.2048708273940151,4,3,567.0,4.0,3.0,False,False,102.9106067603884,1296
KLHDC10,0.5258206664419925,-0.1848690274178686,33,32,1167.0,237.0,236.0,False,False,113.36841663546778,1297
PDE1B,0.5252967904876216,0.1203336716163639,4,3,1882.0,1.0,0.0,False,False,89.90060082387801,1298
LMAN2L,0.5250605470996066,1.411920471370633,2,1,397.0,1.0,0.0,False,False,100.7320488128089,1299
PCMTD1,0.5250403499250018,0.1037777621556147,1,0,702.0,1.0,0.0,False,False,95.41888207084712,1300
TASP1,0.5249886356716721,0.1418042592618526,68,67,609.0,23.0,22.0,False,False,119.04320227677806,1301
SREBF2,0.5246440011570409,-0.1056871394500914,93,92,338.0,7.0,6.0,False,False,121.43817605957184,1302
PHF20L1,0.5244090531044131,0.989286259430073,5,4,532.0,5.0,4.0,False,False,108.11186179297177,1303
AP1B1,0.5240451747922618,0.7535422696275127,4,3,534.0,4.0,3.0,False,False,101.44668236010656,1304
MINK1,0.5237887787379756,0.6370542431664384,2,1,722.0,1.0,0.0,False,False,94.22160129009136,1305
SPATA33,0.5237236545408601,-0.1783138731425207,1,0,297.0,7.0,6.0,False,False,111.17824689788054,1306
SPOCK2,0.5235339567848796,0.3013482598286855,1,0,554.0,1.0,0.0,False,False,98.47735324556392,1307
MREG,0.5233559754872461,0.054992254707359,2,1,875.0,2.0,1.0,False,False,103.49398692540078,1308
ANGEL2,0.523324230538845,0.6066624617825633,1,0,1037.0,1.0,0.0,False,False,93.28468088064348,1309
ZNF397,0.5229828587420032,0.1014855682516417,5,4,361.0,1.0,0.0,False,False,104.00680088783363,1310
HDAC1,0.5229211932405129,-0.4242881388620139,59,58,544.0,69.0,68.0,False,False,125.84579911115875,1311
RXYLT1,0.522794057009327,0.7935198812282277,1,0,1716.0,1.0,0.0,False,False,87.25386718499544,1312
RABGEF1,0.522255084680252,-0.1087025456658493,128,127,240.0,42.0,41.0,False,False,125.63659671281134,1313
SLC12A2,0.5220133232629716,-0.1830484126005388,3,2,1072.0,5.0,4.0,False,False,99.72406281010744,1314
CLPB,0.5219322300958316,0.236009765512123,286,285,241.0,5.0,4.0,False,True,133.1670806034338,1315
PCLAF,0.5219295800793138,0.1926112834808726,3,2,784.0,1.0,0.0,False,False,104.78244462874297,1316
DCAF7,0.5219102562463515,1.317710808622403,2,1,78.0,,,False,False,106.68976253447002,1317
PLS1,0.521818779053385,0.1243287198369292,1,0,598.0,0.0,0.0,False,False,91.14931859774916,1318
PXK,0.5213381647896704,0.2473712179443422,2,1,319.0,2.0,1.0,False,False,93.10285830027546,1319
PHPT1,0.5212196071402807,0.2130872019745899,1,0,507.0,2.0,1.0,False,False,92.21865798746585,1320
SMNDC1,0.521211927318196,0.5414285161472553,1,0,121.0,11.0,11.0,False,False,99.84800874354696,1321
HERC3,0.520911518484925,-0.0043473653022997,3,2,841.0,5.0,4.0,False,False,95.65950336115088,1322
MFNG,0.5204769019072878,0.6947649447205415,2,1,567.0,1.0,0.0,False,False,104.6085365073869,1323
RABAC1,0.5204145988665554,0.0297909715975614,2,1,805.0,2.0,1.0,False,False,96.45321880216213,1324
H2BC9,0.5203739473580247,0.082525982516549,1,0,815.0,1.0,0.0,False,False,96.06925484072184,1325
SMARCAL1,0.5202837835492083,-0.0534899346616789,3,2,165.0,4.0,3.0,False,True,109.38235149453986,1326
SPNS1,0.5201437547377802,0.3132709500656273,1,0,828.0,2.0,1.0,False,False,95.0818745304552,1327
PDXP,0.5200662106726143,-0.0380494513974358,4,3,1405.0,2.0,1.0,False,False,107.68064973954117,1328
KDM3A,0.519827660779077,0.7260747071142288,2,1,726.0,2.0,1.0,False,False,96.94412222181364,1329
NIPSNAP1,0.5197869273344146,0.0863007626000685,11,10,1242.0,2.0,1.0,False,False,115.1476016414502,1330
YWHAB,0.5197331457863932,0.2249236224114472,2,1,412.0,3.0,2.0,False,False,100.78318659424616,1331
C5orf15,0.5195358943371805,0.6015602995890593,9,8,414.0,3.0,2.0,False,False,105.41401601076642,1332
CD40LG,0.5194730602013837,0.7737933797117509,29,28,221.0,5.0,4.0,False,True,112.1212508088037,1333
MRI1,0.5193970849200296,0.478353696489383,3,2,475.0,1.0,0.0,False,False,103.46481195947098,1334
MAPK1,0.5192579936582593,0.132894354738246,18,17,619.0,6.0,5.0,False,False,113.7620783739642,1335
NAP1L4,0.5189907786813115,0.0291466813255696,1,0,995.0,7.0,6.0,False,False,95.8393213991306,1336
GPT2,0.5184469286004568,0.7764922946010219,5,4,145.0,2.0,2.0,False,False,106.6477982349307,1337
BRIP1,0.518297853073008,0.1500881066780151,33,32,58.0,58.0,57.0,False,True,112.7904773073431,1338
MOSMO,0.5181940261191883,-0.0741150977372641,13,12,711.0,197.0,196.0,False,False,105.06718692060971,1339
C1orf159,0.5180625885378293,0.0864632436501831,15,14,459.0,12.0,11.0,False,False,101.5087001202679,1340
NSL1,0.517988040746467,1.0910497762776543,4,3,58.0,,,False,False,103.73064529337348,1341
ZDHHC16,0.5176943952171069,-0.0028409751416287,2,1,293.0,3.0,2.0,False,False,107.26892151744934,1342
PEF1,0.5176711025011537,0.5183134354862406,1,0,2022.0,1.0,0.0,False,False,87.24932343713381,1343
DNASE2,0.5174515464950916,-0.1628171892665853,5,4,530.0,6.0,5.0,False,True,108.00500516792242,1344
BCKDHB,0.5172839409663772,-0.3633250762761861,3,2,945.0,6.0,5.0,False,False,99.17850842762036,1345
R3HCC1,0.5171286302656374,0.3292041658592705,7,6,757.0,7.0,6.0,False,False,105.0710275968302,1346
C2orf68,0.5170448446743868,0.402531739942808,1,0,458.0,1.0,0.0,False,False,98.0301431539266,1347
QPCTL,0.5167429682404289,0.6511706135339165,1,0,601.0,7.0,7.0,False,False,98.90295203294755,1348
MCOLN3,0.516690405852315,0.2154694285227777,2,1,717.0,1.0,0.0,False,False,92.62803968656311,1349
NCOA2,0.516479169830857,0.2428789223328119,1,0,613.0,1.0,0.0,False,False,94.81202896170144,1350
PPP1R8,0.5163688741655237,0.5510539520411588,17,16,129.0,3.0,2.0,False,False,110.08046862770384,1351
QRICH1,0.5161372998803333,1.2495113740663344,20,19,239.0,38.0,37.0,False,False,108.22738178987368,1352
ADPRH,0.5160905287254132,-0.0802957777946391,1,0,335.0,9.0,8.0,False,False,101.73977638985832,1353
ZDHHC14,0.5160337386202043,-0.1595075475850485,2,1,688.0,5.0,4.0,False,False,100.43065610455486,1354
PKD2,0.5158434233332759,0.6284377400129328,6,5,785.0,2.0,1.0,False,False,93.7306300029214,1355
IL13,0.5157861614971715,0.4301911112160623,4,3,995.0,0.0,0.0,False,False,94.915311090897,1356
RMDN1,0.5154467897158942,-0.2150805049770367,2,1,508.0,2.0,1.0,False,False,99.56877799695894,1357
ABTB3,0.5151560636463258,0.0269434585098979,5,4,913.0,2.0,1.0,False,False,96.19078067863876,1358
SEC22C,0.5149161673337269,0.05589869594009,3,2,549.0,3.0,2.0,False,False,96.44544176957385,1359
TRAPPC10,0.5148389225123015,0.226661492040553,1,0,591.0,3.0,2.0,False,False,100.55122947469766,1360
H2BC8,0.5146828173134421,-0.1656530454681291,1,0,1723.0,2.0,1.0,False,False,105.37400135527204,1361
AP1G1,0.514540528019568,0.4548910113456215,1,0,266.0,1.0,0.0,False,False,98.57912514796315,1362
PPARG,0.5144940587624253,-0.281406508881026,1,0,862.0,0.0,0.0,False,False,90.4142829444978,1363
C12orf43,0.5144636012146264,0.5264409673430427,2,1,922.0,3.0,2.0,False,False,97.61653838087086,1364
RYK,0.5143411582313475,0.2559282958047446,8,7,1393.0,4.0,3.0,False,False,107.8820584938206,1365
HOMER1,0.5143126172218643,0.601849010627885,31,30,192.0,35.0,35.0,False,False,115.24329657505288,1366
ADGRE5,0.5142522543186033,1.2379891079745104,1,0,579.0,1.0,0.0,False,False,102.33701035140558,1367
MAFK,0.514094852807759,0.2839555122667881,2,1,201.0,1.0,0.0,False,False,105.58707914654308,1368
ZNF398,0.5138182114474789,0.2566709284206254,6,5,388.0,11.0,10.0,False,False,109.81403154712764,1369
RRAS,0.5128213823040789,0.0232412351271757,1,0,780.0,1.0,0.0,False,False,98.36945497419252,1370
CREG1,0.5120875672908474,0.14182124345678,2,1,397.0,1.0,0.0,False,False,100.48429619634916,1371
MAPKBP1,0.5117721915707623,0.5743462797731492,2,1,1121.0,2.0,1.0,False,False,95.092044468145,1372
GPR180,0.5117498322995279,0.2088187664794727,2,1,542.0,1.0,0.0,False,False,99.0137427962831,1373
HK2,0.5117235493839193,0.270503062534117,236,235,1363.0,4.0,3.0,False,False,131.16608079782333,1374
MFSD4B,0.5116625099583174,0.739605966060917,31,30,985.0,30.0,29.0,False,False,114.30553274153723,1375
EOGT,0.5114616301818427,0.1403396991226997,1,0,645.0,1.0,0.0,False,False,100.12507272308456,1376
FERMT3,0.5108657682516596,0.5397484190784694,4,3,750.0,4.0,3.0,False,True,104.09268627970728,1377
PRKCQ,0.5106962863839826,0.6317870742087722,145,144,180.0,6.0,5.0,False,False,124.05358663752712,1378
GCFC2,0.5103412418372392,0.7457212791263942,7,6,702.0,1.0,0.0,False,False,118.6256447125986,1379
POLI,0.5095895195231652,-0.2808732514061282,5,4,426.0,2.0,1.0,False,False,106.74886150173106,1380
PELO,0.5093956221883041,0.3207144601075126,275,274,556.0,163.0,162.0,False,False,129.43176666349453,1381
ERCC1,0.5093845941580475,0.4892923042488937,416,415,653.0,225.0,224.0,False,False,137.96166472165967,1382
ZWINT,0.5092519603191299,0.2651305816781301,35,34,57.0,56.0,55.0,False,False,112.33678183718676,1383
HAGHL,0.5089796204442139,0.8808151582483474,3,2,376.0,1.0,1.0,False,False,104.44702972171623,1384
HCCS,0.5085476133702856,0.025125283838465,1231,1230,80.0,906.0,905.0,False,False,169.50005149189192,1385
GALM,0.5085267712498158,0.4057443314532394,1,0,891.0,3.0,2.0,False,False,93.26403029222176,1386
PLAA,0.5083795509070321,0.5260576329480345,3,2,644.0,3.0,2.0,False,False,98.22555944106044,1387
SMARCD2,0.508174583367468,0.4105430367412126,11,10,443.0,61.0,60.0,False,True,106.09528730708146,1388
COQ5,0.5079193042506364,0.6800467229521925,19,18,192.0,1.0,0.0,False,False,111.44664782734444,1389
TIMM13,0.5077624112279961,-0.6342587723302958,21,20,116.0,4.0,3.0,False,False,112.51660306580968,1390
MYL6,0.5075048334878791,0.1437546882491326,2,1,543.0,9.0,8.0,False,False,100.09664260293752,1391
NCK2,0.5073725608294234,0.0710615354145542,2,1,788.0,1.0,0.0,False,False,90.83918884787931,1392
LIMD1,0.5072669634626108,0.5725001649815946,1,0,517.0,1.0,0.0,False,False,96.33402790443172,1393
HACE1,0.5069397273328835,1.1793238047808172,2,1,376.0,1.0,0.0,False,False,104.9352066823916,1394
MFSD14A,0.5069299974510894,0.711538109373719,1,0,336.0,3.0,2.0,False,False,100.3443594523617,1395
ATP5F1A,0.5068672481958454,0.1915312185730547,1021,1020,371.0,114.0,113.0,False,False,153.86882721874483,1396
ZNF687,0.5064533839697598,-0.0175348361209752,13,12,1772.0,22.0,21.0,False,False,108.83229072805634,1397
COMMD10,0.5064469661532524,0.3360997389971142,179,178,296.0,99.0,98.0,False,False,128.7793826823108,1398
UBC,0.5059952583612596,0.660326758027374,49,48,186.0,1272.0,1271.0,False,False,117.70491611952548,1399
OTUD3,0.5059833869697625,0.0580499773733947,1,0,888.0,2.0,1.0,False,False,87.70111900632233,1400
POGK,0.5059552668292463,0.8223941125937995,1,0,364.0,259.0,258.0,False,False,105.67962374854152,1401
MCCC1,0.5057736900937563,-0.2426746500148415,3,2,841.0,6.0,5.0,False,False,103.4192634160239,1402
TRDMT1,0.5051462806237661,-0.409925298905145,3,2,350.0,2.0,1.0,False,False,103.40940398210417,1403
CHI3L2,0.5050286600221366,0.0161486858731442,2,1,435.0,1.0,0.0,False,False,94.90612501415384,1404
PDSS1,0.5042604369757184,0.11593124821802,113,112,268.0,32.0,31.0,False,False,120.3796667364733,1405
JPT2,0.5040511785976662,0.5874566673584686,1,0,522.0,1.0,0.0,False,False,96.92790373618372,1406
GK5,0.503853974097296,0.6692147622486163,2,1,134.0,2.0,2.0,False,False,100.11396557194708,1407
TTYH3,0.5038412949142045,-0.0443038579329615,9,8,118.0,,,False,False,107.71716312798408,1408
PEX6,0.5038005853003735,-0.1887373664743987,80,79,457.0,140.0,139.0,False,False,118.82195817864364,1409
ITM2B,0.5036357705057285,-0.2361166517797611,2,1,280.0,148.0,147.0,False,False,107.43069631805903,1410
CSKMT,0.5035862222308098,-0.0582019944435334,3,2,397.0,2.0,2.0,False,False,105.48143523923298,1411
TMPO,0.5035479432665045,0.1578041398695439,1,0,452.0,1.0,0.0,False,False,97.2135510846195,1412
THEMIS2,0.5032906208670219,-0.2349252554920696,4,3,477.0,2.0,1.0,False,False,97.6588340200064,1413
GPX7,0.50316149637836,-0.0290105297486937,1,0,260.0,3.0,2.0,False,False,94.29565358453112,1414
NDFIP1,0.503056883033676,-0.1145637099950643,2,1,748.0,3.0,2.0,False,False,93.48032000858991,1415
DHX32,0.5026915944526852,0.5069698591188323,4,3,838.0,1.0,0.0,False,False,94.38749485829877,1416
SMIM14,0.5026785196955238,0.0700853708851494,1,0,565.0,0.0,0.0,False,False,92.61816547571853,1417
CLYBL,0.502493241613333,0.3447588075928992,4,3,1025.0,4.0,3.0,False,False,106.06581000124808,1418
PRR7,0.5021484041642376,0.4341848634540636,5,4,850.0,6.0,6.0,False,False,102.29655273528036,1419
SMIM15,0.5021394353662475,0.5945858197243493,10,9,924.0,2.0,1.0,False,False,109.263048415912,1420
OPTN,0.5015431161576224,-0.0723596471834136,3,2,708.0,1.0,0.0,False,False,93.88025922157236,1421
INPP5B,0.5014338517225881,0.3969533138415032,1,0,523.0,1.0,0.0,False,False,98.50394343424465,1422
IFI27L2,0.5013362811011698,0.6390562187999648,1,0,564.0,1.0,0.0,False,False,92.82260361331622,1423
BEX3,0.5013159528114901,0.190485181183969,13,12,485.0,311.0,310.0,False,False,111.69011013188464,1424
PLIN3,0.5013155344457535,0.3561036293813502,1,0,495.0,1.0,0.0,False,False,95.21920024095104,1425
LSM12,0.5012504582949883,0.8379741999731265,520,519,489.0,535.0,534.0,False,False,139.88992268170026,1426
BRAP,0.5011763654427333,1.279447401310742,4,3,262.0,18.0,17.0,False,False,109.39603436797805,1427
BTLA,0.5009354972528739,-0.0683927688543047,1,0,720.0,10.0,9.0,False,False,97.1926200108006,1428
RBM45,0.50036628032011,-0.2282528277320864,4,3,1334.0,5.0,4.0,False,False,88.33570829600583,1429
PCNX1,0.5003587541481631,0.2646672830588448,6,5,457.0,6.0,5.0,False,False,98.9845817306396,1430
IL3RA,0.5001845339488061,0.5109195270800677,2,1,323.0,1.0,0.0,False,False,97.96540824363808,1431
GABARAP,0.4999951458822659,-0.2758006097512488,1,0,228.0,2.0,1.0,False,False,105.69356769874456,1432
EIF4ENIF1,0.4995907114175952,0.6284769082319662,1,0,160.0,3.0,2.0,False,False,102.77313164409284,1433
ZNF638,0.4989014519109617,0.1782440449813469,9,8,130.0,7.0,6.0,False,False,105.57692174689994,1434
PEBP1,0.498776886000584,0.5262438697455601,2,1,600.0,1.0,0.0,False,False,100.21581858219062,1435
SLC10A3,0.4986185718857722,0.1276372234282093,2,1,577.0,1.0,0.0,False,False,90.98843541865888,1436
KPNA4,0.4985642477041609,0.9295066413964518,2,1,691.0,1.0,0.0,False,False,88.37544313166478,1437
ASIC1,0.4978690516485698,0.0075278670971168,1,0,1032.0,0.0,0.0,False,False,92.74152895071256,1438
TTC39B,0.4972539540917488,0.6916164358758539,3,2,1061.0,5.0,4.0,False,False,91.51600272153148,1439
ACOX3,0.4972082371428217,0.0649922970736805,3,2,861.0,0.0,0.0,False,False,95.10110641111272,1440
YWHAQ,0.4966045675595375,0.2587691409545969,2,1,609.0,1.0,0.0,False,False,98.10389556627656,1441
KAT6A,0.4960996161450663,0.2391414782985596,143,142,776.0,79.0,78.0,False,False,128.54828104632028,1442
RDH10,0.4959378772057577,-0.3927027108317113,4,3,270.0,1.0,0.0,False,False,100.56302532139856,1443
IFI44,0.4959285473655302,0.4795835826675812,1,0,740.0,1.0,0.0,False,False,92.55472878134567,1444
NR1D1,0.4956816663855915,0.9846377088818196,1,0,687.0,0.0,0.0,False,False,91.78013719253605,1445
ITGAX,0.4954929315013976,1.3755789190854375,5,4,416.0,2.0,2.0,False,False,102.97903452408042,1446
ZC4H2,0.4951523004292211,0.3206839519184224,2,1,378.0,3.0,2.0,False,False,96.17667833712711,1447
DUSP18,0.4950233569089579,0.7352292664706471,6,5,745.0,2.0,1.0,False,False,109.16651417668378,1448
TMEM126A,0.4949836815928498,0.0450983218942766,1,0,922.0,1.0,0.0,False,False,109.21093514731524,1449
PDCD6IP,0.4947963078567703,0.836175298827649,1,0,443.0,1.0,0.0,False,False,100.29974929741448,1450
SSH3,0.4946371920139183,0.5058626056987926,1,0,716.0,0.0,0.0,False,False,94.52414540032574,1451
RINL,0.4946193283827172,0.5369043536320682,5,4,992.0,3.0,2.0,False,False,92.65037459319626,1452
ATP5MC3,0.4943227748560735,-0.4158763279693814,6,5,1112.0,13.0,12.0,False,False,105.40646186584036,1453
CENPF,0.4942755728063409,0.0310063809426315,3,2,628.0,1.0,0.0,False,False,104.34057974797236,1454
MAP9,0.4941124613280285,0.5513262334986759,3,2,651.0,8.0,7.0,False,False,98.60706043414808,1455
FZR1,0.4940281685468343,0.3843231731475807,5,4,46.0,34.0,33.0,False,False,108.07570516668876,1456
VDAC3,0.4938910178530417,0.098452389019458,3,2,503.0,3.0,2.0,False,False,103.64716931490211,1457
MCUB,0.4938553119098918,-0.8469481025896837,4,3,493.0,12.0,11.0,False,False,105.05760522867092,1458
VKORC1,0.4937318513700834,-0.8061962511988994,5,4,1988.0,2.0,1.0,False,False,109.29964802167645,1459
TAOK2,0.4935704516026848,1.191457372351755,2,1,195.0,165.0,164.0,False,False,105.92465692220192,1460
ST13,0.4933828231981724,0.1746139805413754,1,0,664.0,2.0,1.0,False,False,91.34526608948369,1461
DOK5,0.4929645539316228,0.7124804473959517,1,0,966.0,0.0,0.0,False,False,94.38552019963316,1462
ABRAXAS2,0.4928135746389407,0.3253066798855603,1,0,814.0,3.0,2.0,False,False,94.33061125322236,1463
TSPAN5,0.4927266008798727,0.3035630760023704,2,1,928.0,2.0,1.0,False,False,91.62347576722436,1464
AK4,0.492451081656384,0.791691194408426,3,2,692.0,1.0,0.0,False,False,98.1921663094684,1465
NDUFA12,0.4924477393783253,-0.0823628168952554,2,1,700.0,2.0,1.0,False,False,92.65699634851832,1466
MBD3,0.4919846726814936,-0.194379818209198,197,196,1419.0,54.0,53.0,False,False,130.68653481233326,1467
IVNS1ABP,0.4918578343970645,0.3674842332968848,9,8,879.0,3.0,2.0,False,False,112.03757435262898,1468
TSPAN17,0.4915720877785258,0.1670436547161533,4,3,411.0,1.0,0.0,False,False,110.07634554393616,1469
UNC45A,0.491518079851742,0.5907664083861277,220,219,45.0,180.0,179.0,False,False,126.7745954185016,1470
MSRA,0.4913403406077016,0.2429243740965529,1,0,557.0,3.0,2.0,False,False,99.4961310887562,1471
GFUS,0.4910414768022225,0.1397746966245042,2,1,864.0,4.0,3.0,False,False,103.99914491850686,1472
NAXD,0.4909797523575491,0.3919353873608733,2,1,363.0,2.0,1.0,False,False,94.93337733451358,1473
MID1IP1,0.4908960613007243,-0.0806532619925603,2,1,1064.0,3.0,2.0,False,False,91.79646011819734,1474
FNDC3A,0.4908087406579855,0.0827423569325409,2,1,688.0,1.0,0.0,False,False,96.48029575803687,1475
ST3GAL3,0.4902676058661849,1.3690813051362267,3,2,335.0,1.0,0.0,False,False,106.0826586616504,1476
GNB2,0.4901404363391248,0.1326865170690797,1,0,1430.0,1.0,0.0,False,False,96.98977107488254,1477
SPNS3,0.4898972467394136,-0.1199262313623778,2,1,485.0,0.0,0.0,False,False,102.05808879358511,1478
LYSMD4,0.4896980910570694,0.954558794322064,2,1,869.0,4.0,3.0,False,False,97.41460838737429,1479
DOCK7,0.4896612024103512,1.3786014281733343,1,0,540.0,0.0,0.0,False,False,105.16106785882448,1480
ZNRF2,0.4892708793313345,0.9660040511799554,6,5,440.0,42.0,41.0,False,False,103.11293215601198,1481
NBL1,0.4892379847552756,0.056466534984324,4,3,542.0,3.0,2.0,False,False,105.13297080917091,1482
RBM43,0.4892300587210321,0.7381510132400027,2,1,947.0,2.0,1.0,False,False,88.55958145408711,1483
MSRB2,0.4892130782242853,-0.1172230282662815,1,0,250.0,2.0,1.0,False,False,97.95483066625522,1484
CERK,0.4886068511154048,0.4875525134765461,1,0,467.0,2.0,1.0,False,False,100.27488491437192,1485
GOLM1,0.4884175024968633,0.1520933664963046,2,1,389.0,1.0,1.0,False,False,93.86455450622611,1486
GMDS,0.4878895126306754,-0.3527584063495583,1,0,841.0,2.0,1.0,False,False,92.63502557913996,1487
ALMS1,0.4877559249167539,0.2268310067673221,7,6,725.0,11.0,10.0,False,False,100.61426185813816,1488
IP6K2,0.4874887811679299,-0.3000172855363858,3,2,315.0,5.0,4.0,False,False,103.22591393501666,1489
TAPT1,0.4872824217065017,-0.0749509138170946,6,5,511.0,1.0,0.0,False,False,103.36657137780485,1490
ISL2,0.4872671252128092,-0.432513061172332,2,1,684.0,2.0,1.0,False,False,95.78727317727508,1491
KCNAB2,0.48719842142225,-0.1916099960827247,1,0,476.0,1.0,0.0,False,False,98.8542508469562,1492
FAM111A,0.4870737716653632,0.5165000668106585,2,1,712.0,3.0,2.0,False,False,97.79142330225967,1493
C17orf75,0.4870402841605947,0.5583867541329081,1,0,910.0,2.0,1.0,False,False,95.27263428146736,1494
TRIP6,0.4869237392283075,0.5262543667844953,7,6,160.0,7.0,6.0,False,False,105.85107985173164,1495
STAT4,0.4868308362126964,0.2967389216553022,1,0,793.0,1.0,0.0,False,False,109.09600334960967,1496
UBQLN2,0.4867295224836772,1.0809338928955574,6,5,411.0,4.0,3.0,False,False,110.13160475427053,1497
H3-3A,0.4865843002407312,0.5603493024573697,2,1,1387.0,4.0,3.0,False,False,90.69118591690211,1498
MOGS,0.4863279621518929,0.1387856493879181,24,23,666.0,23.0,22.0,False,True,113.98255477425204,1499
PYCR1,0.4862401125715435,-0.7361679164132711,2,1,232.0,0.0,0.0,False,False,101.39278817157626,1500
UBXN11,0.4861632494814835,0.1769657949367884,12,11,687.0,8.0,7.0,False,False,104.6171718653342,1501
INAFM1,0.4860102072107067,0.4749742538381149,1,0,939.0,1.0,0.0,False,False,95.61257557904706,1502
DENND10,0.4859988456612973,0.198430709747337,3,2,715.0,1.0,0.0,False,False,92.7930179120409,1503
PEX16,0.4859121488134851,-0.2472508142050666,6,5,696.0,36.0,35.0,False,False,110.3919956558754,1504
RDH14,0.4858434414147012,0.3705865879695158,2,1,732.0,3.0,2.0,False,False,100.91404395512198,1505
CLN8,0.4858347738070301,0.3407283050560676,3,2,373.0,8.0,7.0,False,False,108.70184028422072,1506
IPPK,0.4852711126860189,-0.1668620497980626,1,0,353.0,1.0,1.0,False,False,99.0357758026126,1507
PANK3,0.4849310453882435,0.7325661772692621,1,0,878.0,1.0,0.0,False,False,99.098460872806,1508
NCOA6,0.4847235889694543,0.5759801188408762,24,23,842.0,97.0,96.0,False,False,109.75203273538072,1509
CD226,0.4846936878934525,0.2249193240547283,1,0,1261.0,1.0,0.0,False,False,102.9050556876048,1510
TSPAN3,0.4845598230347212,0.4268409424799595,1,0,465.0,1.0,0.0,False,False,99.67343980464447,1511
NBEAL2,0.484424972302012,-0.1905507327647359,5,4,425.0,2.0,1.0,False,True,101.98739184963428,1512
MIER2,0.4843466634829719,0.3982045480967622,1,0,408.0,14.0,13.0,False,False,102.362163959093,1513
ENTPD5,0.4843304546696967,0.376270698835135,2,1,773.0,2.0,1.0,False,False,96.5478554615284,1514
HELZ2,0.4841540092259714,0.7641683773772114,1,0,529.0,2.0,1.0,False,False,107.0400728636763,1515
MIB1,0.4839805848526665,-0.3920949128986579,5,4,1182.0,4.0,3.0,False,False,98.38178491909754,1516
CELF1,0.4839553303616389,0.5264501883499748,12,11,2241.0,1.0,0.0,False,False,105.71820371043502,1517
