id,num.Resting_Teff,neg|score.Resting_Teff,neg|p-value.Resting_Teff,neg|fdr.Resting_Teff,neg|rank.Resting_Teff,neg|goodsgrna.Resting_Teff,neg|lfc.Resting_Teff,pos|score.Resting_Teff,pos|p-value.Resting_Teff,pos|fdr.Resting_Teff,pos|rank.Resting_Teff,pos|goodsgrna.Resting_Teff,pos|lfc.Resting_Teff,num.Stimulated_Teff,neg|score.Stimulated_Teff,neg|p-value.Stimulated_Teff,neg|fdr.Stimulated_Teff,neg|rank.Stimulated_Teff,neg|goodsgrna.Stimulated_Teff,neg|lfc.Stimulated_Teff,pos|score.Stimulated_Teff,pos|p-value.Stimulated_Teff,pos|fdr.Stimulated_Teff,pos|rank.Stimulated_Teff,pos|goodsgrna.Stimulated_Teff,pos|lfc.Stimulated_Teff,num.Resting_Treg,neg|score.Resting_Treg,neg|p-value.Resting_Treg,neg|fdr.Resting_Treg,neg|rank.Resting_Treg,neg|goodsgrna.Resting_Treg,neg|lfc.Resting_Treg,pos|score.Resting_Treg,pos|p-value.Resting_Treg,pos|fdr.Resting_Treg,pos|rank.Resting_Treg,pos|goodsgrna.Resting_Treg,pos|lfc.Resting_Treg
SOX3,4,0.41469,0.49576,0.999996,560,1,0.0037875,0.72141,0.72186,0.999996,867,1,0.0037875,4,0.46912,0.52732,0.999996,666,1,1.32E-04,0.28502,0.41465,0.999996,508,2,1.32E-04,4,0.51618,0.62251,0.999996,697,1,-0.047726,0.77703,0.78715,0.999996,939,1,-0.047726
ZNF334,4,0.22669,0.34397,0.999996,380,1,0.052366,0.72226,0.72275,0.999996,868,1,0.052366,4,0.4012,0.48687,0.999996,617,1,0.085162,0.11427,0.21117,0.999996,231,2,0.085162,4,0.61595,0.67126,0.999996,756,1,0.091535,0.048373,0.11945,0.920093,175,2,0.091535
NKX2-3,4,0.61747,0.63056,0.999996,749,1,-0.0040806,0.72255,0.72311,0.999996,869,1,-0.0040806,4,0.47325,0.52979,0.999996,669,1,-0.13226,0.83171,0.83389,0.999996,1074,0,-0.13226,4,0.91912,0.91867,0.999996,1143,0,0.049806,0.22237,0.37374,0.999996,437,2,0.049806
SLAMF1,4,0.34922,0.46015,0.999996,512,1,0.050646,0.72452,0.72504,0.999996,870,1,0.050646,4,0.04148,0.098772,0.973586,136,2,-0.18942,0.90485,0.90512,0.999996,1183,0,-0.18942,4,0.98355,0.98348,0.999996,1265,0,0.14038,0.016453,0.052118,0.571604,122,4,0.14038
FOXL2,4,0.85245,0.85378,0.999996,1069,0,0.0049106,0.72508,0.72577,0.999996,871,1,0.0049106,4,0.40822,0.49088,0.999996,622,1,-0.013357,0.69741,0.70024,0.999996,886,1,-0.013357,4,0.87163,0.87164,0.999996,1055,0,0.062182,0.2786,0.42788,0.999996,492,2,0.062182
ZNF711,4,0.79994,0.80175,0.999996,990,0,-0.024461,0.72564,0.72626,0.999996,872,1,-0.024461,4,0.68172,0.68393,0.999996,869,1,0.17338,0.06236,0.142,0.999996,160,2,0.17338,4,0.4331,0.5779,0.999996,655,2,-0.0075678,0.76127,0.77524,0.999996,920,1,-0.0075678
SATB2,4,0.30096,0.43309,0.999996,479,2,-0.065737,0.72649,0.72713,0.999996,873,1,-0.065737,4,0.56889,0.59418,0.999996,740,1,0.06133,0.28131,0.41044,0.999996,501,1,0.06133,4,0.97114,0.97108,0.999996,1230,0,0.10434,0.061219,0.1437,0.991517,195,3,0.10434
MXD3,4,0.15343,0.25511,0.999996,292,2,-0.13426,0.72677,0.72739,0.999996,874,1,-0.13426,4,0.75264,0.7534,0.999996,975,0,0.1128,0.4846,0.54627,0.999996,683,1,0.1128,4,0.56566,0.64561,0.999996,723,1,0.013136,0.41709,0.56293,0.999996,656,2,0.013136
HSPA1B,4,0.51367,0.55637,0.999996,641,1,0.012359,0.72955,0.73014,0.999996,875,0,0.012359,4,0.28016,0.40827,0.999996,507,1,-0.10226,0.43905,0.51995,0.999996,657,1,-0.10226,4,0.90274,0.90262,0.999996,1112,0,0.12222,0.12561,0.25995,0.999996,311,3,0.12222
NFE2L3,4,0.20136,0.31291,0.999996,346,2,-0.087033,0.72983,0.73035,0.999996,876,0,-0.087033,4,0.94204,0.94204,0.999996,1232,0,0.096306,0.31413,0.44867,0.999996,553,2,0.096306,4,0.31147,0.45339,0.999996,516,2,-0.020819,0.4567,0.60237,0.999996,696,2,-0.020819
