id,num.Resting_Teff,neg|score.Resting_Teff,neg|p-value.Resting_Teff,neg|fdr.Resting_Teff,neg|rank.Resting_Teff,neg|goodsgrna.Resting_Teff,neg|lfc.Resting_Teff,pos|score.Resting_Teff,pos|p-value.Resting_Teff,pos|fdr.Resting_Teff,pos|rank.Resting_Teff,pos|goodsgrna.Resting_Teff,pos|lfc.Resting_Teff,num.Stimulated_Teff,neg|score.Stimulated_Teff,neg|p-value.Stimulated_Teff,neg|fdr.Stimulated_Teff,neg|rank.Stimulated_Teff,neg|goodsgrna.Stimulated_Teff,neg|lfc.Stimulated_Teff,pos|score.Stimulated_Teff,pos|p-value.Stimulated_Teff,pos|fdr.Stimulated_Teff,pos|rank.Stimulated_Teff,pos|goodsgrna.Stimulated_Teff,pos|lfc.Stimulated_Teff,num.Resting_Treg,neg|score.Resting_Treg,neg|p-value.Resting_Treg,neg|fdr.Resting_Treg,neg|rank.Resting_Treg,neg|goodsgrna.Resting_Treg,neg|lfc.Resting_Treg,pos|score.Resting_Treg,pos|p-value.Resting_Treg,pos|fdr.Resting_Treg,pos|rank.Resting_Treg,pos|goodsgrna.Resting_Treg,pos|lfc.Resting_Treg
STAT5B,4,1,1,0.999996,1351,0,2.8575,1.07E-12,3.66E-06,3.54E-04,1,4,2.8575,4,1,1,0.999996,1350,0,2.1514,6.76E-11,3.66E-06,4.50E-04,3,4,2.1514,4,1,1,0.999996,1347,0,1.6277,2.57E-09,3.66E-06,2.48E-04,6,4,1.6277
IL2RA,4,1,1,0.999996,1350,0,3.1775,6.11E-12,3.66E-06,3.54E-04,2,4,3.1775,4,1,1,0.999996,1351,0,3.4168,1.07E-12,3.66E-06,4.50E-04,2,4,3.4168,4,1,1,0.999996,1350,0,2.8099,6.75E-11,3.66E-06,2.48E-04,3,4,2.8099
PTEN,4,1,1,0.999996,1349,0,1.423,6.76E-11,3.66E-06,3.54E-04,3,4,1.423,4,1,1,0.999996,1343,0,0.77117,6.17E-07,3.66E-06,4.50E-04,11,4,0.77117,4,1,1,0.999996,1351,0,2.348,2.09E-12,3.66E-06,2.48E-04,2,4,2.348
STAT5A,4,1,1,0.999996,1348,0,1.7202,2.07E-10,3.66E-06,3.54E-04,4,4,1.7202,4,1,1,0.999996,1344,0,0.96477,4.83E-07,3.66E-06,4.50E-04,10,4,0.96477,4,1,1,0.999996,1346,0,1.3463,7.02E-09,3.66E-06,2.48E-04,7,4,1.3463
FOXP1,4,1,1,0.999996,1347,0,1.1629,5.77E-10,3.66E-06,3.54E-04,5,4,1.1629,4,1,1,0.999996,1346,0,0.81889,7.51E-08,3.66E-06,4.50E-04,7,4,0.81889,4,1,1,0.999996,1348,0,1.3331,2.31E-09,3.66E-06,2.48E-04,5,4,1.3331
ETS1,4,1,1,0.999996,1346,0,1.2843,2.85E-09,3.66E-06,3.54E-04,6,4,1.2843,4,1,1,0.999996,1341,0,0.75183,2.82E-06,1.10E-05,0.001142,13,4,0.75183,4,1,1,0.999996,1342,0,0.87391,4.67E-08,3.66E-06,2.48E-04,11,4,0.87391
JAK3,4,1,1,0.999996,1345,0,2.2364,7.61E-09,3.66E-06,3.54E-04,7,4,2.2364,4,0.99824,0.99832,0.999996,1320,0,1.6145,5.56E-06,2.57E-05,0.002166,16,4,1.6145,4,0.98268,0.9825,0.999996,1261,0,0.68039,1.10E-04,4.87E-04,0.015312,43,4,0.68039
GATA3,4,1,1,0.999996,1344,0,0.95076,1.11E-08,3.66E-06,3.54E-04,8,4,0.95076,4,1,1,0.999996,1349,0,2.4693,4.95E-10,3.66E-06,4.50E-04,4,4,2.4693,4,0.99985,0.99984,0.999996,1317,0,0.48623,5.91E-05,2.46E-04,0.008964,37,4,0.48623
KMT2A,4,1,1,0.999996,1343,0,0.65164,2.39E-07,3.66E-06,3.54E-04,9,4,0.65164,4,0.75804,0.7588,0.999996,979,0,-0.077429,0.60324,0.62488,0.999996,792,1,-0.077429,4,1,1,0.999996,1340,0,0.6981,2.31E-07,3.66E-06,2.48E-04,13,4,0.6981
RELA,4,1,1,0.999996,1342,0,0.598,3.29E-07,3.66E-06,3.54E-04,10,4,0.598,4,0.84326,0.84512,0.999996,1095,0,0.34255,0.021528,0.056551,0.943222,81,3,0.34255,4,0.99986,0.99984,0.999996,1318,0,0.65521,2.11E-05,8.43E-05,0.003558,30,4,0.65521
BATF,4,1,1,0.999996,1341,0,0.67685,5.10E-07,3.66E-06,3.54E-04,11,4,0.67685,4,1,1,0.999996,1347,0,1.5659,1.90E-08,3.66E-06,4.50E-04,6,4,1.5659,4,1.11E-06,3.66E-06,2.36E-04,18,4,-0.52973,1,1,0.999996,1335,0,-0.52973
CIC,4,1,1,0.999996,1340,0,0.45875,5.85E-07,3.66E-06,3.54E-04,12,4,0.45875,4,0.93946,0.93951,0.999996,1226,0,0.1911,0.057257,0.1312,0.999996,152,3,0.1911,4,1,1,0.999996,1335,0,0.78675,1.51E-06,3.66E-06,2.48E-04,18,4,0.78675
SETDB1,4,1,1,0.999996,1339,0,0.48341,6.01E-07,3.66E-06,3.54E-04,13,4,0.48341,4,0.99966,0.9997,0.999996,1331,0,0.40421,3.35E-04,0.0015353,0.069142,30,4,0.40421,4,0.99998,1,0.999996,1327,0,0.4541,1.87E-05,6.96E-05,0.003243,29,4,0.4541
ZNF148,4,1,1,0.999996,1338,0,0.4419,7.77E-07,3.66E-06,3.54E-04,14,4,0.4419,4,0.99833,0.99844,0.999996,1321,0,0.44107,0.0015702,0.0059765,0.207032,39,4,0.44107,4,0.99991,0.99991,0.999996,1320,0,0.39808,8.85E-05,3.99E-04,0.013555,39,4,0.39808
VPS52,4,1,1,0.999996,1337,0,0.61101,2.67E-06,1.10E-05,8.74E-04,15,4,0.61101,4,0.99991,0.99993,0.999996,1334,0,1.2228,8.79E-05,4.14E-04,0.020719,27,4,1.2228,4,0.87968,0.87965,0.999996,1068,0,0.13657,0.059032,0.13976,0.983421,192,3,0.13657
ZBTB14,4,1,1,0.999996,1336,0,0.50322,2.77E-06,1.10E-05,8.74E-04,16,4,0.50322,4,0.97978,0.97983,0.999996,1293,0,0.31927,0.01319,0.038017,0.780303,65,3,0.31927,4,0.90517,0.90494,0.999996,1113,0,0.10401,0.15014,0.30062,0.999996,364,2,0.10401
IKZF1,4,1,1,0.999996,1335,0,0.55573,2.87E-06,1.10E-05,8.74E-04,17,4,0.55573,4,0.1182,0.21099,0.999996,267,2,0.099482,0.036254,0.088153,0.999996,108,2,0.099482,4,0.99999,1,0.999996,1333,0,0.46551,5.14E-06,1.10E-05,6.46E-04,22,4,0.46551
GFI1,4,0.9981,0.99816,0.999996,1304,0,0.7533,5.56E-06,2.57E-05,0.001925,18,4,0.7533,4,0.74898,0.7499,0.999996,969,0,-0.024782,0.59354,0.61789,0.999996,780,1,-0.024782,4,0.85026,0.85062,0.999996,1019,0,0.069278,0.30343,0.45207,0.999996,522,2,0.069278
SRF,4,0.99999,1,0.999996,1334,0,0.48082,6.75E-06,3.30E-05,0.002122,19,4,0.48082,4,1,1,0.999996,1348,0,1.6308,8.87E-10,3.66E-06,4.50E-04,5,4,1.6308,4,0.99995,0.99997,0.999996,1321,0,0.39632,5.49E-05,2.31E-04,0.008663,36,4,0.39632
DDX39B,4,0.99866,0.99873,0.999996,1309,0,0.66823,7.05E-06,3.30E-05,0.002122,20,4,0.66823,4,0.9081,0.90818,0.999996,1180,0,0.05398,0.41765,0.50753,0.999996,640,1,0.05398,4,0.99892,0.99885,0.999996,1309,0,0.23079,0.0010813,0.0040271,0.102653,53,4,0.23079
ZNF236,4,0.99999,1,0.999996,1333,0,0.79711,7.67E-06,3.30E-05,0.002122,21,4,0.79711,4,0.84961,0.85113,0.999996,1105,0,0.2121,0.057978,0.13269,0.999996,153,2,0.2121,4,0.99861,0.99841,0.999996,1307,0,0.29898,0.0013872,0.0051044,0.125383,55,4,0.29898
BPTF,4,0.99999,1,0.999996,1332,0,0.45828,8.81E-06,4.76E-05,0.002682,22,4,0.45828,4,0.0039178,0.014258,0.480316,39,4,-0.53536,0.99608,0.99618,0.999996,1328,0,-0.53536,4,2.57E-09,3.66E-06,2.36E-04,5,4,-1.1859,1,1,0.999996,1348,0,-1.1859
STAT3,4,0.99999,1,0.999996,1331,0,0.36347,8.93E-06,4.76E-05,0.002682,23,4,0.36347,4,0.99999,1,0.999996,1338,0,1.6856,1.87E-07,3.66E-06,4.50E-04,9,4,1.6856,4,0.48633,0.60896,0.999996,684,1,0.1742,0.020788,0.063983,0.630953,137,3,0.1742
RBPJ,4,0.99999,1,0.999996,1330,0,0.45371,9.30E-06,4.76E-05,0.002682,24,4,0.45371,4,0.99995,0.99996,0.999996,1335,0,0.50723,4.78E-05,1.65E-04,0.008911,25,4,0.50723,4,0.99528,0.99522,0.999996,1293,0,0.29413,0.0047235,0.016376,0.290408,76,4,0.29413
IL2RB,4,0.99999,1,0.999996,1329,0,0.71588,1.33E-05,6.23E-05,0.003237,25,4,0.71588,4,0.99998,1,0.999996,1336,0,0.97335,1.59E-05,7.70E-05,0.005176,20,4,0.97335,4,0.75617,0.76389,0.999996,879,1,-0.039151,0.75308,0.76914,0.999996,914,1,-0.039151
BACH2,4,0.99999,1,0.999996,1328,0,0.44585,1.36E-05,6.23E-05,0.003237,26,4,0.44585,4,2.87E-06,1.10E-05,0.001856,8,3,-0.87918,0.61998,0.63673,0.999996,813,1,-0.87918,4,0.99947,0.99947,0.999996,1312,0,0.69438,9.49E-05,4.14E-04,0.013555,40,4,0.69438
TFAP4,4,0.99998,1,0.999996,1327,0,0.40144,1.59E-05,7.70E-05,0.003585,27,4,0.40144,4,1,1,0.999996,1340,0,0.67069,4.18E-06,1.83E-05,0.00165,15,4,0.67069,4,0.035935,0.092007,0.77078,161,2,-0.16485,0.85115,0.85158,0.999996,1038,0,-0.16485
GABPA,4,0.99998,0.99999,0.999996,1326,0,0.50125,1.91E-05,7.70E-05,0.003585,28,4,0.50125,4,0.9019,0.90244,0.999996,1164,0,0.16965,0.13964,0.24151,0.999996,269,2,0.16965,4,0.9763,0.97621,0.999996,1243,0,0.24535,0.0032185,0.011436,0.22392,69,3,0.24535
CEBPZ,4,0.99998,0.99999,0.999996,1325,0,0.33524,1.93E-05,7.70E-05,0.003585,29,4,0.33524,4,0.21872,0.33399,0.999996,419,2,-0.25603,0.265,0.39084,0.999996,472,1,-0.25603,4,0.059489,0.1385,0.910675,204,3,-0.17552,0.92885,0.92877,0.999996,1163,0,-0.17552
TCF3,4,0.99997,0.99998,0.999996,1324,0,0.34788,2.51E-05,8.43E-05,0.003673,30,4,0.34788,4,0.96228,0.96235,0.999996,1263,0,0.17514,0.14117,0.24342,0.999996,272,2,0.17514,4,0.0088996,0.029435,0.389876,102,4,-0.23916,0.98951,0.98934,0.999996,1281,0,-0.23916
IKZF3,4,0.99984,0.99987,0.999996,1321,0,0.52724,2.53E-05,8.43E-05,0.003673,31,4,0.52724,4,0.19321,0.3035,0.999996,385,1,-0.13309,0.96883,0.96882,0.999996,1277,0,-0.13309,4,0.99999,1,0.999996,1330,0,0.36692,1.27E-05,2.57E-05,0.001333,26,4,0.36692
IRF4,4,0.99996,0.99997,0.999996,1323,0,0.56828,3.91E-05,1.36E-04,0.005724,32,4,0.56828,4,0.99999,1,0.999996,1339,0,1.2618,3.85E-06,1.83E-05,0.00165,14,4,1.2618,4,6.45E-06,1.10E-05,6.46E-04,23,4,-0.7938,0.99999,1,0.999996,1331,0,-0.7938
REST,4,0.9979,0.99797,0.999996,1302,0,0.47323,5.53E-05,1.94E-04,0.007951,33,4,0.47323,4,0.33299,0.44985,0.999996,565,1,0.61635,1.27E-04,6.19E-04,0.02988,28,3,0.61635,4,0.99795,0.99788,0.999996,1303,0,0.38949,0.0020498,0.0075302,0.175401,58,4,0.38949
KLF3,4,0.99885,0.99896,0.999996,1310,0,0.39307,1.12E-04,5.31E-04,0.021112,34,4,0.39307,4,0.77348,0.7749,0.999996,999,0,0.13252,0.2288,0.34836,0.999996,408,2,0.13252,4,0.81092,0.81191,0.999996,947,1,0.15369,0.027541,0.078046,0.732226,144,3,0.15369
RXRB,4,0.99987,0.9999,0.999996,1322,0,0.55502,1.26E-04,6.19E-04,0.02324,35,4,0.55502,4,0.61819,0.6305,0.999996,787,1,0.09888,0.77348,0.7749,0.999996,1001,0,0.09888,4,0.99999,1,0.999996,1331,0,0.9103,1.14E-05,2.57E-05,0.001333,25,4,0.9103
FOXP3,4,0.99964,0.99967,0.999996,1318,0,0.39039,1.27E-04,6.19E-04,0.02324,36,4,0.39039,4,0.64783,0.6548,0.999996,826,1,0.25517,0.017279,0.046966,0.839565,75,3,0.25517,4,1,1,0.999996,1344,0,2.0046,1.47E-08,3.66E-06,2.48E-04,9,4,2.0046
RARA,4,0.99467,0.99488,0.999996,1294,0,0.38365,1.60E-04,7.73E-04,0.028231,37,4,0.38365,4,0.99976,0.99979,0.999996,1332,0,0.4933,2.39E-04,0.001081,0.050358,29,4,0.4933,4,0.78856,0.79134,0.999996,915,1,0.15521,0.053166,0.12839,0.956187,181,2,0.15521
CEBPB,4,0.98857,0.989,0.999996,1276,0,0.36019,1.87E-04,8.98E-04,0.031918,38,3,0.36019,4,0.99845,0.9985,0.999996,1322,0,0.38625,0.0015549,0.0059252,0.207032,38,4,0.38625,4,0.75822,0.76567,0.999996,881,1,0.0050068,0.65447,0.7076,0.999996,832,1,0.0050068
USF2,4,0.99977,0.99981,0.999996,1320,0,0.28006,2.26E-04,0.0010223,0.035415,39,4,0.28006,4,0.7747,0.77621,0.999996,1003,0,0.27428,0.042793,0.10197,0.999996,124,2,0.27428,4,0.9998,0.99981,0.999996,1314,0,0.33602,2.04E-04,8.54E-04,0.024542,47,4,0.33602
ATF4,4,0.99969,0.99972,0.999996,1319,0,0.35148,3.10E-04,0.0014254,0.048144,40,4,0.35148,4,0.322,0.44402,0.999996,557,1,0.070652,0.25425,0.37847,0.999996,453,2,0.070652,4,0.13203,0.2705,0.999996,340,2,-0.037328,0.27923,0.42855,0.999996,495,2,-0.037328
TCF12,4,0.99941,0.99948,0.999996,1317,0,0.39865,4.77E-04,0.0020044,0.066047,41,4,0.39865,4,0.55252,0.582,0.999996,724,1,0.043863,0.62604,0.64136,0.999996,822,1,0.043863,4,0.88735,0.88711,0.999996,1084,0,0.21562,0.013048,0.04188,0.514356,110,3,0.21562
ZFHX3,4,0.99938,0.99944,0.999996,1316,0,0.22487,6.21E-04,0.0025467,0.081919,42,4,0.22487,4,0.76561,0.76645,0.999996,987,0,0.083615,0.42159,0.5097,0.999996,643,1,0.083615,4,0.74442,0.75492,0.999996,864,1,-0.053498,0.90718,0.90692,0.999996,1133,0,-0.053498
ZNF25,4,0.9984,0.99849,0.999996,1305,0,0.27931,6.78E-04,0.0027885,0.087612,43,4,0.27931,4,0.84746,0.84914,0.999996,1103,0,0.26302,0.022969,0.059739,0.972385,83,2,0.26302,4,1,1,0.999996,1336,0,0.54475,9.89E-07,3.66E-06,2.48E-04,17,4,0.54475
SMAD4,4,0.99929,0.99935,0.999996,1315,0,0.30096,7.10E-04,0.0028765,0.088321,44,4,0.30096,4,0.64239,0.65008,0.999996,818,1,0.055506,0.25021,0.37376,0.999996,449,1,0.055506,4,0.86842,0.86835,0.999996,1050,0,0.16422,0.05721,0.13613,0.967926,190,3,0.16422
NR1D1,4,0.99918,0.99929,0.999996,1314,0,0.24967,8.15E-04,0.0031843,0.0956,45,4,0.24967,4,0.14294,0.24147,0.999996,302,1,-0.16073,0.87452,0.87578,0.999996,1136,0,-0.16073,4,0.87663,0.87667,0.999996,1062,0,0.32121,0.0072521,0.024386,0.374381,88,3,0.32121
ZBTB16,4,0.99442,0.99464,0.999996,1293,0,0.25971,9.77E-04,0.0038146,0.112032,46,4,0.25971,4,0.81706,0.81989,0.999996,1056,0,0.031448,0.37354,0.4841,0.999996,608,1,0.031448,4,0.91442,0.91416,0.999996,1139,0,0.058799,0.29002,0.43906,0.999996,507,2,0.058799
ELP2,4,0.99898,0.99915,0.999996,1313,0,0.28062,0.0010217,0.0039831,0.113552,47,4,0.28062,4,1,1,0.999996,1342,0,0.65438,1.48E-06,1.10E-05,0.001142,12,4,0.65438,4,0.98811,0.98816,0.999996,1274,0,0.19255,0.011891,0.03856,0.496134,105,4,0.19255
FLI1,4,0.99897,0.99914,0.999996,1312,0,0.21935,0.0010301,0.0040344,0.113552,48,4,0.21935,4,0.99937,0.99943,0.999996,1329,0,0.2801,6.27E-04,0.0025614,0.108137,32,4,0.2801,4,1,1,0.999996,1343,0,0.7211,4.22E-08,3.66E-06,2.48E-04,10,4,0.7211
IL15RA,4,0.99891,0.99908,0.999996,1311,0,0.23461,0.0010866,0.0042763,0.117903,49,4,0.23461,4,0.16574,0.27015,0.999996,340,2,0.0028612,0.13028,0.23064,0.999996,254,2,0.0028612,4,0.69854,0.72198,0.999996,817,1,0.47202,9.85E-05,4.21E-04,0.013555,41,3,0.47202
LHX6,4,0.99864,0.9987,0.999996,1308,0,0.17198,0.0013566,0.005251,0.140652,50,4,0.17198,4,0.28362,0.41228,0.999996,513,1,0.10198,0.13284,0.23374,0.999996,258,2,0.10198,4,0.32416,0.46657,0.999996,527,1,-0.0075235,0.69703,0.73219,0.999996,860,1,-0.0075235
ZNF652,4,0.99374,0.99403,0.999996,1292,0,0.22702,0.0013729,0.0053096,0.140652,51,3,0.22702,4,0.99864,0.99869,0.999996,1323,0,0.26109,0.0013618,0.005273,0.192534,37,4,0.26109,4,0.42593,0.57024,0.999996,647,1,0.11603,0.10843,0.23018,0.999996,282,3,0.11603
PTF1A,4,0.99858,0.99863,0.999996,1307,0,0.23035,0.001415,0.0054342,0.141184,52,4,0.23035,4,0.85525,0.85671,0.999996,1110,0,0.20977,0.11087,0.20719,0.999996,223,2,0.20977,4,0.99997,0.99998,0.999996,1324,0,0.63152,2.89E-05,1.06E-04,0.00435,33,4,0.63152
SIX6,4,0.99851,0.99855,0.999996,1306,0,0.16781,0.0014921,0.0056907,0.145059,53,4,0.16781,4,0.71828,0.71882,0.999996,917,1,0.0036421,0.51237,0.56319,0.999996,706,1,0.0036421,4,0.48498,0.60835,0.999996,683,1,0.079495,0.11213,0.2367,0.999996,288,3,0.079495
ZBTB3,4,0.92281,0.92328,0.999996,1173,0,0.25215,0.0016047,0.0061157,0.153007,54,3,0.25215,4,0.81099,0.81345,0.999996,1049,0,-0.013648,0.054704,0.12612,0.999996,146,1,-0.013648,4,0.99984,0.99983,0.999996,1316,0,0.33274,1.65E-04,7.22E-04,0.021672,45,4,0.33274
GMEB2,4,0.99792,0.99798,0.999996,1303,0,0.23713,0.00208,0.0079333,0.194869,55,4,0.23713,4,0.73588,0.73633,0.999996,946,0,-0.0078604,0.73967,0.74018,0.999996,949,0,-0.0078604,4,0.96648,0.96617,0.999996,1220,0,0.12732,0.099926,0.215,0.999996,270,3,0.12732
MNT,4,0.99717,0.99728,0.999996,1301,0,0.15269,0.0028266,0.010491,0.253094,56,4,0.15269,4,0.020922,0.054448,0.831823,85,1,-0.090013,0.86291,0.86409,0.999996,1118,0,-0.090013,4,0.99106,0.99093,0.999996,1282,0,0.16066,0.0089376,0.029597,0.434621,92,4,0.16066
TGIF2LX,4,0.86022,0.86159,0.999996,1079,0,0.22978,0.0031344,0.011664,0.267083,57,2,0.22978,4,0.96766,0.96772,0.999996,1275,0,0.37175,0.0076989,0.025368,0.659082,52,3,0.37175,4,0.34419,0.48667,0.999996,549,2,-0.052472,0.62276,0.69087,0.999996,814,1,-0.052472
YY1,4,0.97348,0.97346,0.999996,1247,0,0.26768,0.0031837,0.011788,0.267083,58,2,0.26768,4,0.93919,0.9392,0.999996,1224,0,0.22033,0.062657,0.14249,0.999996,162,3,0.22033,4,0.071601,0.1613,0.956517,226,3,-0.10019,0.98388,0.98389,0.999996,1265,0,-0.10019
PURA,4,0.46866,0.52843,0.999996,600,1,0.26643,0.003202,0.011839,0.267083,59,3,0.26643,4,0.97138,0.97139,0.999996,1278,0,0.18722,0.097182,0.1907,0.999996,207,2,0.18722,4,0.99998,1,0.999996,1328,0,0.40458,1.75E-05,6.23E-05,0.003006,28,4,0.40458
MAZ,4,0.99678,0.99693,0.999996,1300,0,0.2063,0.0032172,0.011876,0.267083,60,4,0.2063,4,0.54723,0.57829,0.999996,720,1,0.16,0.12968,0.22999,0.999996,253,2,0.16,4,7.00E-04,0.0026713,0.078455,46,4,-0.34415,0.9993,0.99928,0.999996,1319,0,-0.34415
ZEB1,4,0.99671,0.99685,0.999996,1299,0,0.17995,0.0032878,0.012059,0.267083,61,4,0.17995,4,0.95596,0.95605,0.999996,1253,0,0.28039,0.040669,0.097438,0.999996,116,3,0.28039,4,1,1,0.999996,1339,0,0.65907,2.39E-07,3.66E-06,2.48E-04,14,4,0.65907
ZNF248,4,0.99626,0.99635,0.999996,1298,0,0.10298,0.0037357,0.013576,0.291538,62,4,0.10298,4,0.98759,0.98802,0.999996,1302,0,0.32403,0.013462,0.038706,0.780479,67,3,0.32403,4,0.85097,0.85142,0.999996,1022,0,0.17673,0.014293,0.04572,0.532477,116,3,0.17673
NCR3,4,0.99621,0.9963,0.999996,1297,0,0.13416,0.0037919,0.013782,0.291538,63,4,0.13416,4,0.46589,0.52559,0.999996,663,1,-0.010628,0.37821,0.48649,0.999996,611,1,-0.010628,4,0.65912,0.69687,0.999996,789,1,0.067483,0.15257,0.30454,0.999996,366,2,0.067483
NR1I2,4,0.97844,0.97845,0.999996,1259,0,0.22963,0.0037987,0.013811,0.291538,64,3,0.22963,4,0.96517,0.96548,0.999996,1270,0,0.15892,0.17326,0.28246,0.999996,318,2,0.15892,4,0.99085,0.99067,0.999996,1281,0,0.21911,0.0065365,0.022143,0.347859,86,4,0.21911
REL,4,0.99181,0.99215,0.999996,1286,0,0.22718,0.0039845,0.014485,0.301066,65,3,0.22718,4,0.73121,0.73171,0.999996,936,0,0.21193,0.038284,0.092374,0.999996,111,2,0.21193,4,0.79337,0.79583,0.999996,920,1,0.11652,0.024748,0.072286,0.697177,139,2,0.11652
XBP1,4,0.99539,0.99562,0.999996,1296,0,0.22016,0.0046081,0.016566,0.339109,66,4,0.22016,4,0.73994,0.74048,0.999996,953,0,0.10711,0.50891,0.56096,0.999996,703,1,0.10711,4,0.93037,0.93032,0.999996,1167,0,0.15042,0.030217,0.08314,0.753837,149,3,0.15042
OLIG1,4,0.99517,0.9954,0.999996,1295,0,0.16997,0.0048346,0.017241,0.347643,67,4,0.16997,4,0.26265,0.3867,0.999996,483,1,-0.029358,0.43617,0.51815,0.999996,654,1,-0.029358,4,0.40943,0.55336,0.999996,624,2,0.018567,0.37494,0.52188,0.999996,605,2,0.018567
CCL3,4,0.4846,0.53801,0.999996,614,1,0.29063,0.00505,0.017981,0.357236,68,3,0.29063,4,0.21194,0.32571,0.999996,412,1,-0.1382,0.30357,0.43648,0.999996,536,1,-0.1382,4,0.79155,0.79411,0.999996,919,1,0.06104,0.18539,0.33844,0.999996,399,2,0.06104
ATF1,4,0.90698,0.90699,0.999996,1150,0,0.24947,0.0059189,0.020964,0.410461,69,3,0.24947,4,0.050441,0.1175,0.999996,156,2,-0.13291,0.6664,0.67356,0.999996,859,1,-0.13291,4,0.8374,0.83773,0.999996,993,0,-0.014746,0.40866,0.55489,0.999996,642,1,-0.014746
ZBTB6,4,0.98656,0.98688,0.999996,1271,0,0.18986,0.006892,0.023162,0.44703,70,3,0.18986,4,0.8258,0.82813,0.999996,1071,0,0.14501,0.071715,0.15998,0.999996,180,2,0.14501,4,0.91923,0.91879,0.999996,1144,0,0.0094603,0.23878,0.39026,0.999996,455,1,0.0094603
MYNN,4,0.27552,0.4026,0.999996,445,1,0.25264,0.0072252,0.023814,0.453145,71,3,0.25264,4,0.82218,0.82469,0.999996,1067,0,-0.043868,0.67508,0.68079,0.999996,864,1,-0.043868,4,0.99996,0.99997,0.999996,1322,0,0.35152,4.09E-05,1.43E-04,0.005516,35,4,0.35152
MBD2,4,0.96611,0.96628,0.999996,1238,0,0.24327,0.0077747,0.025024,0.469541,72,3,0.24327,4,0.99883,0.99894,0.999996,1325,0,0.46788,0.0011685,0.0045328,0.170105,36,4,0.46788,4,1,1,0.999996,1338,0,1.1984,3.39E-07,3.66E-06,2.48E-04,15,4,1.1984
HIVEP1,4,0.90472,0.90505,0.999996,1144,0,0.16374,0.0080814,0.025786,0.476251,73,2,0.16374,4,6.58E-04,0.0026786,0.190464,19,3,-0.47192,0.86523,0.8662,0.999996,1122,0,-0.47192,4,0.94592,0.94544,0.999996,1187,0,0.2267,0.0056291,0.019285,0.313909,83,3,0.2267
ZNF74,4,0.9881,0.9885,0.999996,1274,0,0.16841,0.008219,0.026086,0.476251,74,3,0.16841,4,0.018996,0.050249,0.831823,80,2,-0.2877,0.088986,0.18108,0.999996,199,1,-0.2877,4,0.39661,0.54024,0.999996,612,2,-0.037019,0.49391,0.63425,0.999996,738,1,-0.037019
C6orf48,4,0.25053,0.37267,0.999996,414,2,0.094464,0.0083938,0.026555,0.47835,75,2,0.094464,4,0.0099611,0.029861,0.661337,61,3,-0.28682,0.19384,0.30711,0.999996,351,1,-0.28682,4,0.98634,0.98647,0.999996,1269,0,0.22214,0.0099935,0.032909,0.454587,97,4,0.22214
FOXP4,4,0.97836,0.97834,0.999996,1258,0,0.194,0.0089395,0.027787,0.493942,76,3,0.194,4,0.80214,0.80404,0.999996,1040,0,0.30299,0.024007,0.062055,0.982568,85,3,0.30299,4,0.93833,0.9382,0.999996,1174,0,0.11278,0.062037,0.14499,0.991517,197,3,0.11278
HLA-DQB2,4,0.98041,0.98051,0.999996,1263,0,0.22361,0.010298,0.030945,0.541698,77,3,0.22361,4,0.0018667,0.0071784,0.373001,26,2,-0.31709,0.16513,0.27297,0.999996,307,1,-0.31709,4,0.63991,0.68543,0.999996,772,1,-9.42E-05,0.90976,0.90952,0.999996,1136,0,-9.42E-05
ZNF776,4,0.98952,0.98977,0.999996,1280,0,0.20109,0.010421,0.031275,0.541698,78,3,0.20109,4,0.17029,0.27578,0.999996,352,1,-0.12912,0.81603,0.81877,0.999996,1054,0,-0.12912,4,0.59982,0.66245,0.999996,742,1,0.034986,0.33216,0.4804,0.999996,555,2,0.034986
WT1,4,0.37769,0.47525,0.999996,535,1,0.13132,0.010913,0.032382,0.553766,79,2,0.13132,4,0.76611,0.76703,0.999996,988,0,-0.035189,0.77153,0.77268,0.999996,1000,0,-0.035189,4,0.91145,0.91131,0.999996,1130,0,0.11185,0.066711,0.1541,0.999996,204,3,0.11185
CEBPG,4,0.9476,0.9478,0.999996,1207,0,0.19599,0.011216,0.033048,0.558106,80,3,0.19599,4,0.25177,0.37415,0.999996,467,2,-0.12719,0.7923,0.79427,0.999996,1025,0,-0.12719,4,0.043441,0.10719,0.827525,175,3,-0.16285,0.511,0.64124,0.999996,744,1,-0.16285
HOXC9,4,0.96954,0.96953,0.999996,1243,0,0.18519,0.012524,0.036251,0.604633,81,3,0.18519,4,0.58173,0.6032,0.999996,747,1,0.041181,0.52265,0.56977,0.999996,719,1,0.041181,4,0.24179,0.38342,0.999996,439,1,-0.023365,0.57818,0.66946,0.999996,781,1,-0.023365
THRA,4,0.96593,0.96617,0.999996,1237,0,0.24065,0.014588,0.040678,0.670188,82,3,0.24065,4,0.68763,0.68949,0.999996,876,1,-0.0079316,0.88392,0.88491,0.999996,1148,0,-0.0079316,4,0.99999,1,0.999996,1332,0,0.59448,5.81E-06,1.10E-05,6.46E-04,23,4,0.59448
