measure,test,alternative,effect,p,n_used,n_top,n_bg,p_bh
lof_intolerant,cmh,greater,2.5028600799164353,0.006822289575607352,180,128,52,0.02728915830242941
systemic_risk,cmh,greater,4.928571428571428,0.004224969472806923,187,134,53,0.02728915830242941
is_ceg,cmh,greater,2.747390396659707,0.11744708622865863,187,134,53,0.13422524140418127
ubiquitous,cmh,greater,2.5764023210831724,0.1011444366859302,187,134,53,0.13422524140418127
is_iei,cmh,less,0.22475369458128078,0.015371458260538538,187,134,53,0.0409905553614361
n_nonimmune_tissues,ve,greater,1.8133568715308612,0.0348883984663207,187,134,53,0.0697767969326414
max_nonimmune_ntpm,ve,greater,0.4193242741242022,0.3374895792961253,187,134,53,0.3374895792961253
rest_cells_ratio,ve,less,-1.3549653636161672,0.08771429630283334,187,134,53,0.13422524140418127
