hypothesis,arm,axis,n,rho,stratified_on,p_matched,verdict
H1 co-inhibitory attrition -> CTLA-4 loss,CTLA4,tolerance_loss,471,0.006,z_L2,0.8940529735132434,DOES NOT REPLICATE
H1 co-inhibitory attrition -> CTLA-4 loss,CTLA4,tolerance_loss,471,0.006,resting-arm disruption,0.896551724137931,DOES NOT REPLICATE
H1 co-inhibitory attrition -> CTLA-4 loss,CTLA4,tolerance_loss,471,0.006,stimulated-arm DE burden,0.9085457271364318,DOES NOT REPLICATE
H1 co-inhibitory attrition -> CTLA-4 loss,CTLA4,tolerance_loss,471,0.006,z_L2 and resting-arm disruption jointly,0.8840579710144928,DOES NOT REPLICATE
H2 efficacy -> IL-2 loss,IL2,efficacy,471,0.1346,z_L2,0.011494252873563218,REPLICATES
H2 efficacy -> IL-2 loss,IL2,efficacy,471,0.1346,resting-arm disruption,0.006496751624187906,REPLICATES
H2 efficacy -> IL-2 loss,IL2,efficacy,471,0.1346,stimulated-arm DE burden,0.005997001499250375,REPLICATES
H2 efficacy -> IL-2 loss,IL2,efficacy,471,0.1346,z_L2 and resting-arm disruption jointly,0.0069965017491254375,REPLICATES
