quantity,observed,matched_mean,p_matched_ge_observed,specific_to_reversal,n_draws,pool
"rejected (any axis), top 20",14,4.5994,0.0001999600079984003,True,5000,263
"rejected on tolerance, top 20",14,4.5994,0.0001999600079984003,True,5000,263
"fails selectivity annotation, top 20",14,14.1614,0.645870825834833,False,5000,263
