nomination_rank,gene_name,tier,window_rank,viability_tier,ot_genetic_max,ot_genetic_supported,ot_genetic_n_diseases,loeuf,prec,recessive_intolerant,tractable,sm_pocket,clinical_precedent,il2_hit,selectivity,fail_homeostasis,is_known_drug
188,SEC14L2,3,4968,non-depleting,0.0,False,,1.068,0.79223,False,True,True,False,False,-2.40580740198632,True,False
189,PPP4C,3,5004,depleting-at-rest,0.0,False,,0.411,0.00047427,False,True,False,False,False,-1.135791291909864,True,False
190,WARS2,3,5456,non-depleting,0.0,False,,1.099,0.86315,False,True,False,False,False,2.7515353130419493,False,False
191,ZBTB14,3,5485,depleting-at-rest,0.0,False,,0.933,0.73663,False,False,False,False,False,2.466214516775848,False,False
192,GNE,3,5624,non-depleting,0.0,False,,0.822,0.99593,True,True,True,False,False,5.204006687076795,False,False
193,PAXIP1,3,5676,non-depleting,0.0,False,,0.276,1.9589e-08,False,False,False,False,False,0.1471969208626768,True,False
194,PPP1R11,3,5753,depleting-at-rest,0.0,False,,1.432,0.78741,False,False,False,False,False,0.4094161207548445,True,False
195,TSC1,3,5935,non-depleting,0.0,False,,0.227,1.5807e-17,False,True,False,False,False,-0.3346849260471174,True,False
196,PNPT1,3,6127,depleting-at-rest,0.0,False,,0.641,0.99984,True,True,False,False,False,2.092612004869581,True,False
197,UBE2I,3,6304,depleting-at-rest,0.0,False,,0.281,8.0799e-05,False,False,False,False,False,0.515371086137665,True,False
