Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,group
prerank,Xenobiotic Metabolism,-0.28067261035074365,-1.3416442002824367,0.02403846153846154,0.10694816994029592,0.447,37/118,18.60%,SLC1A5;PYCR1;SMOX;SSR3;UPP1;GART;ATP2A2;SHMT2;MTHFD1;ARG2;AHCY;SLC35B1;GSTO1;PEMT;SAR1B;GSR;PTS;PGRMC1;ACO2;GCLC;AP4B1;ETFDH;HMOX1;PTGR1;ALDH9A1;ASL;NMT1;ACP1;UGDH;HPRT1;MAN1A1;ABHD6;ALAS1;HSD11B1;PTGES3;CYP1A1;ADH5,top_efficacy
prerank,Inflammatory Response,-0.27763911239458144,-1.3339254619802148,0.025906735751295335,0.10351368800793392,0.458,29/123,12.73%,CXCL8;LTA;LIF;NAMPT;MYC;OSM;SLC7A1;RGS16;SLAMF1;ATP2A2;CCL5;HBEGF;ADRM1;TNFRSF9;NFKBIA;CXCL10;ACVR1B;IL10;CD48;SLC31A1;ATP2B1;IL2RB;ICAM1;CSF1;SCARF1;GNAI3;NFKB1;SELENOS;KIF1B,top_efficacy
prerank,Apical Surface,0.45085189560680694,1.3181324362436853,0.12444444444444444,0.1716609246054002,0.913,7/22,18.25%,MAL;FLOT2;AKAP7;NCOA6;TMEM8B;MDGA1;ADAM10,top_efficacy
prerank,Fatty Acid Metabolism,-0.2807315157572483,-1.3050355323430287,0.0547945205479452,0.11733148741022756,0.529,30/117,16.77%,HSPH1;SMS;HSP90AA1;FH;ODC1;FASN;G0S2;HSD17B4;OSTC;DLD;ADSL;ACADM;H2AZ1;PDHA1;IDH3B;MDH2;PTS;MDH1;ACO2;ETFDH;ALDH9A1;CRYZ;SUCLG1;DHCR24;ACSL4;UGDH;HCCS;CPOX;HMGCS1;MCEE,top_efficacy
prerank,Myogenesis,0.3284507838556318,1.3015310706214023,0.0751592356687898,0.17535745241858533,0.93,37/96,31.84%,CLU;AGRN;MYH9;SPTAN1;PLXNB2;MEF2D;LSP1;MYOM1;HDAC5;CNN3;GSN;CDKN1A;TCAP;NOTCH1;COL6A2;TPM2;EIF4A2;FOXO4;SMTN;LPIN1;TSC2;MYOM2;SORBS3;PSEN2;PYGM;FLII;VIPR1;CRAT;AKT2;WWTR1;GADD45B;SIRT2;SH3BGR;KLF5;CFD;MYH3;GNAO1,top_efficacy
prerank,DNA Repair,-0.27560754061734494,-1.297027324001068,0.05042016806722689,0.11518560179977504,0.544,39/115,19.53%,SUPT4H1;NME1;GTF2H3;SSRP1;ADRM1;SF3A3;NUDT21;IMPDH2;POLB;GTF2H5;GTF2A2;APRT;SEC61A1;RFC3;COX17;TSG101;RPA3;ALYREF;RFC4;ITPA;FEN1;ERCC2;DUT;TAF9;TMED2;POM121;POLR2K;HPRT1;POLR2C;DGUOK;AAAS;POLD3;PNP;RPA2;POLR1D;NME4;POLR2I;MPG;POLE4,top_efficacy
prerank,Apoptosis,0.3094943832193978,1.2779476671024068,0.08125,0.19106820144397263,0.954,25/129,10.16%,FDXR;BAX;TAP1;CLU;SATB1;BCL2L11;BNIP3L;IRF1;SPTAN1;BMF;ADD1;FAS;CDC25B;CASP8;CDK2;LEF1;ISG20;TXNIP;PPT1;GSN;CDKN1A;TOP2A;IFNGR1;BCAP31;RELA,top_efficacy
prerank,Protein Secretion,-0.28073870338502105,-1.237796502053515,0.12213740458015267,0.15510080470710394,0.684,21/77,14.75%,LMAN1;ANP32E;RAB5A;ARCN1;SEC24D;TPD52;COG2;SEC22B;COPB2;ARFGEF2;SNX2;TMX1;TSG101;ARF1;YKT6;USO1;KIF1B;YIPF6;TMED2;SOD1;DNM1L,top_efficacy
prerank,KRAS Signaling Up,-0.26423136291116045,-1.2194876342308871,0.09012875536480687,0.16344563264433573,0.729,18/110,7.79%,LIF;CSF2;RGS16;ANKH;EMP1;PRELID3B;YRDC;TSPAN13;AVL9;G0S2;HBEGF;DUSP6;PPP1R15A;NRP1;CXCL10;KIF5C;FBXO4;EVI5,top_efficacy
prerank,PI3K/AKT/mTOR  Signaling,0.30704624536952635,1.2084730447989218,0.15425531914893617,0.290236030561325,0.996,20/89,12.14%,GRK2;CXCR4;MAPK1;STAT2;CFL1;CDK2;AKT1;TIAM1;PLCG1;CDKN1A;SMAD2;PIN1;ITPR2;MYD88;MAPKAP1;MKNK1;TRAF2;GSK3B;MKNK2;LCK,top_efficacy
