pillar,registered,gates,binary,rho_with_z_l2,circular,A_effect,A_p,A_strata,A_top_used,A_stable,B_effect,B_p,B_strata,B_top_used,B_bg_used,B_stable,C_effect,C_p,A_p_bh,B_p_bh,C_p_bh,passes_A,passes_B,survives,robust
IEI (immunodeficiency),True,False,True,0.06514410377505139,False,2.768582375478927,0.0013169907757398216,7,100,True,20.6,0.0031190160707325948,10,100,100,True,0.9599133965945577,0.842975044519402,0.001646238469674777,0.007797540176831487,0.842975044519402,True,True,True,True
collateral DE in stim,True,False,False,0.7246386211807948,False,7.0355148998437,9.92632501598483e-13,7,100,True,1.977496849913457,0.02399274811689856,10,100,100,False,-7.219658974894946,5.211810804467627e-13,2.4815812539962072e-12,0.03998791352816427,1.3029527011169068e-12,True,True,True,False
DE at rest (raw),True,False,False,0.5272379310766567,False,3.0382056457251134,0.0011899574182192645,7,97,True,-0.5964744138907397,0.724570829209424,10,97,98,True,-4.793546683663063,1.6385830662479264e-06,0.001646238469674777,0.9057135365117799,2.7309717770798775e-06,True,False,True,True
tolerance-module suppression,True,True,False,0.06895808782285147,False,11.099332113212132,6.319239250262956e-29,7,100,True,9.267258249973294,9.54960877072982e-21,10,100,100,True,22.13844530521351,1.3480682884009538e-108,3.159619625131478e-28,4.7748043853649094e-20,6.740341442004769e-108,True,True,True,True
homeostasis cost (-selectivity),False,True,False,-0.24499424974334938,False,0.012844561624628544,0.49487590219307065,7,97,True,-1.3296431342886041,0.9081820604412587,10,97,98,True,2.1124553146434506,0.034647414848291834,0.49487590219307065,0.9081820604412587,0.043309268560364794,False,False,False,True
