gene_name,efficacy,rest_de_genes,stim_de_genes,freimer_il2_lowers,freimer_il2_lfc
CCL3,0.1694991201112327,1.0,2,False,0.057922
PBX3,0.1674681229600276,3.0,3,False,0.15329
ZNF595,0.1671901171834463,4.0,5,False,-0.11168
CCR8,0.3645290640830526,1.0,3,False,0.009191
MAP2K1,0.9322028522484904,5.0,12,False,0.041162
MGA,0.1630696846234015,56.0,123,False,-0.064997
ZNF224,0.1618427697936621,2.0,2,False,0.07477
ZFY,0.1608760643548653,4.0,1,False,0.15074
ZNF641,0.1969939993861352,58.0,766,False,-0.11244
MICA,0.2439071651999546,1.0,8,False,-0.016257
STAT4,0.4868308362126963,1.0,1,False,0.028705
ZNF692,0.222284841902305,3.0,3,False,0.01533
IL21,0.580434346312841,402.0,108,False,0.24842
ZNF394,0.7907485282630853,7.0,2,False,-0.11772
KLF12,0.1418862793562392,2.0,1,False,0.020301
ZNF345,0.2887601222373138,6.0,3,False,-0.013619
JUN,0.1401077081891336,1.0,2,True,0.27706
ZNF552,0.1744277345694718,7.0,3,False,0.047196
RFX3,0.1353158299513878,1.0,1,False,-0.16906
ZBTB2,0.2630349604136634,25.0,11,False,-0.03388
BATF3,0.1350953876494988,3.0,4,False,-0.018031
FOXP3,0.5734039373700945,3.0,4,False,0.036856
ESRRA,0.1333256802582571,1.0,25,False,0.22484
ZNF671,0.644895969380304,3.0,2,False,-0.12735
ZNF264,0.384978035447015,2.0,2,False,-0.010166
MXD3,0.127386560369737,5.0,4,False,-0.051095
SP1,0.1259649341410567,129.0,407,False,-0.25956
FOXJ2,0.1259628261016426,1.0,4,False,0.10037
BTN2A2,0.1169193986591753,0.0,1,False,-0.052651
ZNF586,0.1674221579007258,9.0,6,False,0.10751
ZNF483,0.1128355476579085,1.0,1,False,-0.031034
ZNF492,0.4523905183667956,9.0,11,False,0.22915
ATF4,0.1041612472818653,86.0,393,False,0.33902
PTEN,0.6396558469302751,2929.0,463,False,-1.0041
ATF6,0.0956638150291484,2.0,2,False,0.2242
KLF11,0.157627628542949,2.0,1,False,-0.018427
EGR2,0.0930129841170049,0.0,254,False,0.057415
PATZ1,0.0886083273506233,2.0,2,False,0.11328
NR2C1,0.5293106099020571,7.0,5,False,0.091221
