arm,axis,n_hits,median_hit,p_mwu,p_matched,verdict
IL2,efficacy,29,0.3421,0.0011410218802335584,0.0014992503748125937,SEPARATES
CTLA4,tolerance_loss,13,0.193,0.026548789113516342,0.31334332833583206,DOES NOT SEPARATE once matched on effect magnitude
CTLA4,efficacy,13,0.2789,0.1390504357252928,0.2563718140929535,DOES NOT SEPARATE once matched on effect magnitude
IL2,tolerance_loss,29,0.1995,0.10681194264425292,0.07146426786606697,DOES NOT SEPARATE once matched on effect magnitude
