ranking,median tolerance loss,median z_l2,rejected on tolerance,fails selectivity (annotation),pass gate
naive suppression (ours),1.1003605153327518,140.98361370598707,44,76,56
z_l2 (pure effect magnitude),0.7264928258532515,175.7702629898775,33,71,67
collateral DE count,0.6794784940278864,175.7702629898775,32,70,68
|score| (sign-blind),1.1003605153327518,140.98361370598707,44,76,56
