rule,n_conjuncts,recovered_drugs,sensitivity,novel_nominated
(screen gate only),0,5,1.0,190
tractable,1,5,1.0,85
lof_tolerant,1,4,0.8,49
supported,1,2,0.4,43
lof_tolerant & tractable,2,4,0.8,13
supported & lof_tolerant,2,2,0.4,7
supported & tractable,2,2,0.4,16
supported & lof_tolerant & tractable,3,2,0.4,1
