gene_name,eff_mean_lfc,eff_mean_z,n_module_down,tol_mean_lfc,n_tolerance_down,stim_de_genes,n_cells_target,rest_de_genes,selectivity,efficacy,tolerance_loss,rest_cells,rest_cells_ratio,log2_stim_over_rest_cells,viability_tier,is_iei,is_core_essential,fail_evidence,fail_homeostasis,fail_tolerance,safe,reject_reason,window_score,window_rank,loeuf,pli,n_tissues_expressed,n_nonimmune_tissues,max_nonimmune_ntpm,is_ceg,is_neg,lof_intolerant,ubiquitous,systemic_risk
RCN2,0.0682538475905759,0.0656824246951578,0,-0.1315985221428638,0,2,446.0,1.0,0.4054651081081645,-0.0682538475905759,0.1315985221428638,485.0,0.8931860036832413,-0.1209410371541853,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.820738009246402,4769,1.264,3.7974e-05,51.0,45.0,303.6,False,False,False,True,True
AZI2,-0.2185849575027256,-0.4034423118165995,0,0.1321950947481929,0,1,211.0,18.0,-2.251291798606495,0.2185849575027256,-0.1321950947481929,83.0,0.152854511970534,1.3460597573602604,depleting-at-rest,False,False,True,True,False,False,"evidence,homeostasis",-0.8210622015704283,4770,0.686,0.092616,51.0,45.0,25.4,False,False,False,True,True
PRDX4,-0.2780565054472763,-0.1234816465632985,0,-0.4056154130277509,0,1,856.0,1.0,0.0,0.2780565054472763,0.4056154130277509,846.0,1.558011049723757,0.016953133281197,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8221590797898538,4771,,,51.0,45.0,1142.7,False,False,False,True,True
FANCD2,-0.1284619072615975,-0.0886153307303907,0,0.1611027789640156,0,19,287.0,107.0,-1.686398953570229,0.1284619072615975,-0.1611027789640156,310.0,0.570902394106814,-0.1112174785985497,non-depleting,True,False,True,True,False,False,"evidence,homeostasis",-0.8224893995560394,4772,0.777,2.6036e-19,32.0,26.0,9.4,False,False,False,False,False
ZNF718,-0.165862518693609,-0.4280185485493284,1,-0.3173851459453105,0,7,943.0,6.0,0.1335313926245225,0.165862518693609,0.3173851459453105,855.0,1.574585635359116,0.1413333509018363,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8226892644681945,4773,1.918,0.062169,50.0,44.0,4.4,False,False,False,True,True
MFSD14A,-0.2959523383916236,-0.5069299974510894,0,-0.3161225698866279,0,1,336.0,3.0,-0.6931471805599453,0.2959523383916236,0.3161225698866279,363.0,0.6685082872928176,-0.1115083152169903,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8229141188029233,4774,0.814,0.0070721,51.0,45.0,123.7,False,False,False,True,True
TNIK,-0.1639863301698978,-0.2332194271343746,0,-0.2605953389124822,0,3,1059.0,4.0,-0.2231435513142097,0.1639863301698978,0.2605953389124822,1082.0,1.992633517495396,-0.0309979098344788,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8232030328977635,4775,0.339,1.0,48.0,42.0,22.1,False,False,True,True,True
PCCB,-0.199983778053292,-0.2899681420908571,0,-0.3301812334830419,0,2,448.0,2.0,0.0,0.199983778053292,0.3301812334830419,457.0,0.8416206261510129,-0.0286954330004656,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8240142872360785,4776,0.843,0.00011174,51.0,45.0,188.7,False,False,False,True,True
CUL4B,-0.45667221127065,-0.5603106181480383,1,-0.0830165061516014,0,22,147.0,572.0,-3.21539150078559,0.45667221127065,0.0830165061516014,336.0,0.6187845303867403,-1.1926450779423958,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8242215003985969,4777,,,51.0,45.0,26.2,False,False,False,True,True
PPP2R5A,-0.1306403980906273,-0.1465570738992855,0,-0.2629333827190991,0,1,1195.0,1.0,0.0,0.1306403980906273,0.2629333827190991,1227.0,2.2596685082872927,-0.0381246307947941,non-depleting,False,False,True,True,False,False,"evidence,homeostasis",-0.8244769711606766,4778,0.778,0.0013709,51.0,45.0,56.5,False,False,False,True,True
