gene_name,freimer_il2_lowers,freimer_il2_fdr,freimer_il2_lfc,freimer_il2ra_lowers,freimer_ctla4_lowers,tier,efficacy,window_rank,liabilities,provenance
XBP1,True,0.000275,0.78092,False,False,"D: screen only, direction UNMEASURED (hypothesis pool)",1.0422463262014026,1347,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent; direction of effect NEVER MEASURED (N17 failed its calibration at chance),POST-HOC deviation from the registered H3 (addendum 2). Not a pre-registered result.
ATXN7L3,True,0.000275,1.2628,False,False,"D: screen only, direction UNMEASURED (hypothesis pool)",1.2086847511398306,29,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent; direction of effect NEVER MEASURED (N17 failed its calibration at chance),POST-HOC deviation from the registered H3 (addendum 2). Not a pre-registered result.
ATF4,False,0.287914,0.33902,False,False,"D: screen only, direction UNMEASURED (hypothesis pool)",0.1041612472818653,1989,perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent; direction of effect NEVER MEASURED (N17 failed its calibration at chance),POST-HOC deviation from the registered H3 (addendum 2). Not a pre-registered result.
SMAD4,False,0.999996,0.069856,False,False,"C: screen + genetics candidate, direction UNMEASURED",1.121447797450117,237,LoF-intolerant; perturbs the resting arm; direction of effect NEVER MEASURED (N17 failed its calibration at chance),POST-HOC deviation from the registered H3 (addendum 2). Not a pre-registered result.
STAT3,False,0.999996,-0.19856,False,True,A: concordant + genetically supported (repurposing lead),1.5980760477027087,1,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent; concordant only because a drug or a monogenic syndrome already exists,POST-HOC deviation from the registered H3 (addendum 2). Not a pre-registered result.
