n_bins,n,n_rejected,n_kept,z_sel,p_sel,z_sham,p_sham,delta_z,dominance,n_strata_used,n_strata_dropped,n_top_used,n_background_used,dropped_rejected_rows,protocol_deviation_gt5pct
4,180,128,52,-2.5682282352216363,0.005110991439336967,-2.61229097455142,0.0044968835474369535,0.04406273932978344,False,4,0,128,52,6,False
5,180,128,52,-2.515876436583458,0.005936840130145071,-2.7588426968142588,0.002900322472152243,0.24296626023080092,False,5,0,128,52,6,False
10,180,128,52,-2.7373021328503686,0.0030972686068388043,-3.2721772622579124,0.0005336132035744665,0.5348751294075438,False,10,0,128,52,6,False
20,180,128,52,-2.450295363506419,0.007136953624282579,-2.8272638809689448,0.0023473811724559583,0.3769685174625259,False,19,1,119,52,6,False
