gene_name,induction_log2fc,induced,top_median,bg_median,mwu_p
IL10,4.73436258033227,True,2.365827202796936,0.4976145923137665,1.7916619656336977e-16
LRRC32,3.96123863466819,True,0.020239160396158695,0.02073284611105919,0.4303330551217701
FOXP3,3.038186,True,0.3865310996770859,0.040286995470523834,3.432694895981191e-07
LAG3,2.776527,True,0.20041735470294952,0.007260087877511978,9.592848648917598e-08
CTLA4,2.29394167827275,True,0.36014755070209503,0.024940039962530136,1.547760160738801e-23
PDCD1,1.57651740729966,True,0.5617546141147614,0.017053629271686077,2.4083035983617773e-17
IKZF2,1.1949811955163,True,0.38612011075019836,0.16114062070846558,0.005481368182563201
TIGIT,-0.0416725061883492,False,0.929502010345459,0.16433797776699066,8.145438081079386e-10
TGFB1,-0.5387151,False,0.014295835979282856,-0.005253473529592156,0.12881706258056758
