stage,essentials,nonessentials,all_library
in sgRNA library,682,141,12779
reaches DE_stats,230,135,11526
tested in Stim48hr,196,134,11281
+ not distal_offtarget,195,131,11154
+ not neighboring_KD,187,131,10324
+ ontarget_significant,90,3,6388
+ not low_target_gex,89,3,6371
